tag	map	seed	seat	ours	cond	turn	arm	ourcore_dmg	ourcore_heal	ourcore_hp_calc	oppcore_dmg	oppcore_heal	oppcore_hp_calc	heal_back	heal_back_ours	opp_harv_built	opp_belt_built	opp_harv_killed	opp_belt_killed	opp_eco_killed	fwd_gun_n	fwd_gun_first	gun_n	fwd_sent_n	fwd_sent_first	fwd_laun_n	fwd_laun_first	collar_bar_n	unknown_deltas
atoll_s1_A	atoll	1	A	OPP	Core destroyed	385	parent	720	220	0	0	0	500		0.3056	4	17	0	0	0	0		3	0		5	3	4	
atoll_s1_B	atoll	1	B	OPP	Core destroyed	168	parent	576	72	-4	630	324	194	0.5143	0.125	4	12	0	1	1	0		0	1	78	2	3	12	
atoll_s2_A	atoll	2	A	OPP	Core destroyed	302	parent	504	0	-4	288	288	500	1.0	0.0	3	13	0	0	0	0		0	1	66	3	3	16	
atoll_s2_B	atoll	2	B	OPP	Core destroyed	134	parent	504	0	-4	288	288	500	1.0	0.0	4	19	0	2	2	1	23	1	1	54	1	3	4	
atoll_s3_A	atoll	3	A	OPP	Core destroyed	388	parent	3582	3080	-2	1008	1008	500	1.0	0.8599	3	4	0	0	0	0		0	1	31	3	3	2	
atoll_s3_B	atoll	3	B	OPP	Core destroyed	290	parent	504	0	-4	1062	1062	500	1.0	0.0	4	16	0	1	1	0		1	1	64	4	3	7	
drakkarfjord_s1_A	drakkarfjord	1	A	OPP	Core destroyed	391	parent	504	4	0	0	0	500		0.0079	8	105	0	0	0	0		2	0		3	9	13	
drakkarfjord_s1_B	drakkarfjord	1	B	US	Core destroyed	173	parent	0	0	500	864	356	-8	0.412		3	19	0	0	0	0		0	1	76	1	9	19	
drakkarfjord_s2_A	drakkarfjord	2	A	OPP	Core destroyed	164	parent	504	0	-4	0	0	500		0.0	6	61	0	0	0	0		1	0		1	9	7	
drakkarfjord_s2_B	drakkarfjord	2	B	OPP	Titanium collected (tiebreak)	1000	parent	0	0	500	2934	2728	294	0.9298		10	104	0	2	2	0		1	1	308	2	9	42	
drakkarfjord_s3_A	drakkarfjord	3	A	OPP	Core destroyed	548	parent	504	0	-4	0	0	500		0.0	9	112	0	0	0	0		0	0		6	9	13	
drakkarfjord_s3_B	drakkarfjord	3	B	OPP	Core destroyed	309	parent	504	0	-4	0	0	500		0.0	10	113	0	0	0	0		3	0		1	9	9	
glacierkeep_s1_A	glacierkeep	1	A	US	Core destroyed	512	parent	0	0	500	504	0	-4	0.0		7	49	0	0	0	0		0	2	424	3	5	12	
glacierkeep_s1_B	glacierkeep	1	B	OPP	Titanium collected (tiebreak)	1000	parent	36	0	464	1512	1512	500	1.0	0.0	14	112	0	0	0	0		0	1	64	2	5	13	
glacierkeep_s2_A	glacierkeep	2	A	US	Core destroyed	289	parent	0	0	500	504	0	-4	0.0		3	27	0	3	3	1	43	1	1	89	2	5	36	
