tag	map	seed	seat	ours	cond	turn	arm	ourcore_dmg	ourcore_heal	ourcore_hp_calc	oppcore_dmg	oppcore_heal	oppcore_hp_calc	heal_back	heal_back_ours	opp_harv_built	opp_belt_built	opp_harv_killed	opp_belt_killed	opp_eco_killed	fwd_gun_n	fwd_gun_first	gun_n	fwd_sent_n	fwd_sent_first	fwd_laun_n	fwd_laun_first	collar_bar_n	unknown_deltas
atoll_s1_A	atoll	1	A	US	Core destroyed	624	flagoff	504	504	500	756	252	-4	0.3333	1.0	6	21	2	6	8	2	475	3	2	76	6	3	21	
atoll_s1_B	atoll	1	B	OPP	Titanium collected (tiebreak)	1000	flagoff	7920	7920	500	0	0	500		1.0	5	14	0	3	3	1	23	2	0		1	3	12	
atoll_s2_A	atoll	2	A	US	Titanium collected (tiebreak)	1000	flagoff	0	0	500	0	0	500			7	19	4	3	7	1	60	1	0		3	3	5	
atoll_s2_B	atoll	2	B	US	Core destroyed	374	flagoff	18	0	482	864	364	0	0.4213	0.0	6	21	2	6	8	2	72	4	1	278	5	3	8	
atoll_s3_A	atoll	3	A	OPP	Core destroyed	151	flagoff	828	328	0	0	0	500		0.3961	3	13	0	0	0	0		1	0		6	3	5	
atoll_s3_B	atoll	3	B	OPP	Core destroyed	380	flagoff	1026	522	-4	0	0	500		0.5088	5	20	0	0	0	0		2	0		2	3	0	
drakkarfjord_s1_A	drakkarfjord	1	A	US	Core destroyed	568	flagoff	0	0	500	504	0	-4	0.0		8	104	1	4	5	2	539	2	2	538	8	9	19	
drakkarfjord_s1_B	drakkarfjord	1	B	US	Core destroyed	471	flagoff	0	0	500	2430	1928	-2	0.7934		3	14	0	0	0	0		1	2	60	2	9	17	
drakkarfjord_s2_A	drakkarfjord	2	A	OPP	Core destroyed	789	flagoff	2808	2308	0	0	0	500		0.8219	9	120	1	16	17	2	61	4	0		5	9	16	
drakkarfjord_s2_B	drakkarfjord	2	B	OPP	Core destroyed	454	flagoff	1170	664	-6	0	0	500		0.5675	11	125	0	0	0	0		2	0		1	9	9	
drakkarfjord_s3_A	drakkarfjord	3	A	OPP	Core destroyed	357	flagoff	648	148	0	0	0	500		0.2284	9	113	0	2	2	1	64	2	0		1	9	12	
drakkarfjord_s3_B	drakkarfjord	3	B	US	Core destroyed	257	flagoff	0	0	500	504	0	-4	0.0		4	28	1	4	5	1	115	3	1	194	1	9	10	
glacierkeep_s1_A	glacierkeep	1	A	OPP	Core destroyed	473	flagoff	504	0	-4	684	684	500	1.0	0.0	4	30	0	0	0	0		1	1	72	2	5	11	
glacierkeep_s1_B	glacierkeep	1	B	OPP	Core destroyed	533	flagoff	504	0	-4	1728	1410	182	0.816	0.0	4	32	0	0	0	0		0	1	64	2	5	12	
glacierkeep_s2_A	glacierkeep	2	A	US	Core destroyed	313	flagoff	180	0	320	504	0	-4	0.0	0.0	4	34	0	5	5	1	35	1	1	192	2	5	10	
glacierkeep_s2_B	glacierkeep	2	B	US	Core destroyed	301	flagoff	0	0	500	810	306	-4	0.3778		3	14	0	0	0	0		0	1	68	3	5	28	
glacierkeep_s3_A	glacierkeep	3	A	US	Core destroyed	193	flagoff	0	0	500	504	0	-4	0.0		4	20	0	2	2	1	37	1	1	84	2	5	12	
glacierkeep_s3_B	glacierkeep	3	B	US	Core destroyed	205	flagoff	0	0	500	504	0	-4	0.0		4	31	0	4	4	1	40	1	1	80	2	5	12	
midgard_s1_A	midgard	1	A	OPP	Core destroyed	243	flagoff	504	0	-4	0	0	500		0.0	8	39	3	7	10	2	36	3	0		0		10	
midgard_s1_B	midgard	1	B	US	Core destroyed	239	flagoff	306	306	500	504	0	-4	0.0	1.0	6	32	2	8	10	2	40	7	1	183	0		9	
midgard_s2_A	midgard	2	A	OPP	Core destroyed	220	flagoff	504	0	-4	666	666	500	1.0	0.0	8	39	2	5	7	1	36	1	1	52	0		5	
midgard_s2_B	midgard	2	B	OPP	Titanium collected (tiebreak)	1000	flagoff	0	0	500	486	0	14	0.0		7	24	5	10	15	3	38	4	1	520	0		147	
