tag	map	seed	seat	ours	cond	turn	arm	arrive	sent	kill	last	window	ge1	ge2	nobody	two_body_share	bought_sentinel	ge1_fp	ge2_fp	nobody_fp
atoll_s1_A	atoll	1	A	OPP	Core destroyed	200	v520	11	-1	-1	199	189	177	74	0.0635	0.3915	0	189	98	0.0
atoll_s1_B	atoll	1	B	OPP	Core destroyed	271	v520	11	-1	-1	270	260	37	10	0.8577	0.0385	0	48	16	0.8154
atoll_s2_A	atoll	2	A	US	Core destroyed	153	v520	10	-1	152	152	143	45	0	0.6853	0.0	0	69	6	0.5175
atoll_s2_B	atoll	2	B	OPP	Core destroyed	769	v520	11	190	-1	768	179	44	10	0.7542	0.0559	1	53	16	0.7039
atoll_s3_A	atoll	3	A	OPP	Core destroyed	390	v520	11	316	-1	389	305	305	12	0.0	0.0393	1	305	28	0.0
atoll_s3_B	atoll	3	B	OPP	Core destroyed	654	v520	11	-1	-1	653	643	69	11	0.8927	0.0171	0	111	53	0.8274
drakkarfjord_s1_A	drakkarfjord	1	A	US	Core destroyed	171	v520	14	33	170	170	19	17	5	0.1053	0.2632	1	19	18	0.0
drakkarfjord_s1_B	drakkarfjord	1	B	US	Core destroyed	116	v520	14	40	115	115	26	21	11	0.1923	0.4231	1	26	25	0.0
drakkarfjord_s2_A	drakkarfjord	2	A	US	Core destroyed	115	v520	14	33	114	114	19	18	8	0.0526	0.4211	1	19	15	0.0
drakkarfjord_s2_B	drakkarfjord	2	B	US	Titanium collected (tiebreak)	1000	v520	14	40	-1	999	26	23	10	0.1154	0.3846	1	26	25	0.0
drakkarfjord_s3_A	drakkarfjord	3	A	US	Core destroyed	92	v520	14	36	91	91	22	17	7	0.2273	0.3182	1	21	17	0.0455
drakkarfjord_s3_B	drakkarfjord	3	B	US	Titanium collected (tiebreak)	1000	v520	14	40	-1	999	26	23	10	0.1154	0.3846	1	26	25	0.0
glacierkeep_s1_A	glacierkeep	1	A	US	Core destroyed	428	v520	12	105	427	427	93	74	46	0.2043	0.4946	1	93	84	0.0
glacierkeep_s1_B	glacierkeep	1	B	OPP	Core destroyed	858	v520	12	92	-1	857	80	58	6	0.275	0.075	1	80	66	0.0
glacierkeep_s2_A	glacierkeep	2	A	US	Titanium collected (tiebreak)	1000	v520	12	91	-1	999	79	42	15	0.4684	0.1899	1	79	76	0.0
glacierkeep_s2_B	glacierkeep	2	B	OPP	Titanium collected (tiebreak)	1000	v520	12	56	-1	999	44	14	9	0.6818	0.2045	1	42	14	0.0455
glacierkeep_s3_A	glacierkeep	3	A	US	Core destroyed	123	v520	12	67	122	122	55	51	30	0.0727	0.5455	1	55	55	0.0
glacierkeep_s3_B	glacierkeep	3	B	OPP	Core destroyed	769	v520	12	-1	-1	768	757	92	8	0.8785	0.0106	0	102	47	0.8653
midgard_s1_A	midgard	1	A	US	Core destroyed	206	v520	48	150	205	205	102	102	89	0.0	0.8725	1	102	100	0.0
midgard_s1_B	midgard	1	B	OPP	Core destroyed	188	v520	50	-1	-1	187	138	138	58	0.0	0.4203	0	138	68	0.0
midgard_s2_A	midgard	2	A	OPP	Core destroyed	168	v520	48	43	-1	167	0	0	0			1	0	0	
midgard_s2_B	midgard	2	B	US	Core destroyed	525	v520	50	300	524	524	250	250	241	0.0	0.964	1	250	247	0.0
midgard_s3_A	midgard	3	A	OPP	Core destroyed	156	v520	47	44	-1	155	0	0	0			1	0	0	
midgard_s3_B	midgard	3	B	OPP	Core destroyed	449	v520	51	41	-1	448	0	0	0			1	0	0	
nordkap_s1_A	nordkap	1	A	US	Core destroyed	486	v520	8	76	485	485	68	64	32	0.0588	0.4706	1	68	54	0.0
nordkap_s1_B	nordkap	1	B	OPP	Core destroyed	339	v520	8	332	-1	338	324	148	44	0.5432	0.1358	1	215	71	0.3364
nordkap_s2_A	nordkap	2	A	US	Core destroyed	561	v520	8	49	560	560	41	36	19	0.122	0.4634	1	40	36	0.0244
nordkap_s2_B	nordkap	2	B	OPP	Core destroyed	429	v520	10	64	-1	428	54	49	15	0.0926	0.2778	1	54	43	0.0
nordkap_s3_A	nordkap	3	A	US	Core destroyed	132	v520	8	60	131	131	52	47	16	0.0962	0.3077	1	52	42	0.0
nordkap_s3_B	nordkap	3	B	US	Core destroyed	153	v520	8	76	152	152	68	60	33	0.1176	0.4853	1	68	58	0.0
yulerune_s1_A	yulerune	1	A	US	Core destroyed	280	v520	32	241	279	279	209	208	203	0.0048	0.9713	1	209	206	0.0
yulerune_s1_B	yulerune	1	B	OPP	Core destroyed	435	v520	27	-1	-1	434	408	278	181	0.3186	0.4436	0	279	184	0.3162
yulerune_s2_A	yulerune	2	A	US	Core destroyed	486	v520	29	436	485	485	407	406	29	0.0025	0.0713	1	407	38	0.0
yulerune_s2_B	yulerune	2	B	OPP	Core destroyed	228	v520	32	220	-1	227	188	188	53	0.0	0.2819	1	188	57	0.0
yulerune_s3_A	yulerune	3	A	OPP	Core destroyed	193	v520	31	-1	-1	192	162	159	10	0.0185	0.0617	0	162	20	0.0
yulerune_s3_B	yulerune	3	B	OPP	Core destroyed	445	v520	29	219	-1	444	190	79	20	0.5842	0.1053	1	87	23	0.5421
