tag	map	seed	seat	ours	cond	turn	arm	game_rounds	game_jumps	eid	birth	pos	dsq_core	dsq_centre	n_seats	coverage	coverage_ferry	best_cov_site	lifetime	died	death_round	n_launch	n_launch_seat	ever_launched
atoll_s97_A	atoll	97	A	OPP	Core destroyed	425	v520	425	32	30	10	12,3	1	6.5	8	2	2	2	103	1	113	12	2	1
atoll_s97_A	atoll	97	A	OPP	Core destroyed	425	v520	425	32	776	380	10,4	10	22.5	8	0	0	2	4	1	384	1	0	1
atoll_s97_B	atoll	97	B	OPP	Core destroyed	188	v520	188	74	27	10	3,12	1	6.5	8	2	2	2	178	0	-1	70	34	1
atoll_s98_A	atoll	98	A	OPP	Core destroyed	190	v520	190	20	52	19	13,0	2	8.5	8	1	1	2	171	0	-1	16	0	1
atoll_s98_B	atoll	98	B	US	Core destroyed	173	v520	173	45	50	20	3,12	1	6.5	8	2	2	2	153	0	-1	32	0	1
atoll_s98_B	atoll	98	B	US	Core destroyed	173	v520	173	45	138	98	2,17	4	6.5	8	2	2	2	75	0	-1	9	0	1
atoll_s99_A	atoll	99	A	OPP	Core destroyed	874	v520	874	81	30	10	12,3	1	6.5	8	2	2	2	193	1	203	42	2	1
atoll_s99_A	atoll	99	A	OPP	Core destroyed	874	v520	874	81	310	215	8,1	26	44.5	8	0	0	2	4	1	219	1	0	1
atoll_s99_A	atoll	99	A	OPP	Core destroyed	874	v520	874	81	348	248	9,5	20	36.5	8	0	0	2	4	1	252	1	0	1
atoll_s99_A	atoll	99	A	OPP	Core destroyed	874	v520	874	81	473	356	15,6	9	12.5	8	0	0	2	4	1	360	1	0	1
atoll_s99_A	atoll	99	A	OPP	Core destroyed	874	v520	874	81	510	388	8,1	26	44.5	8	0	0	2	4	1	392	1	0	1
atoll_s99_A	atoll	99	A	OPP	Core destroyed	874	v520	874	81	563	433	12,5	5	12.5	8	0	0	2	2	1	435	0	0	0
atoll_s99_A	atoll	99	A	OPP	Core destroyed	874	v520	874	81	604	469	12,5	5	12.5	8	0	0	2	1	1	470	0	0	0
atoll_s99_A	atoll	99	A	OPP	Core destroyed	874	v520	874	81	656	516	9,5	20	36.5	8	0	0	2	4	1	520	1	0	1
atoll_s99_A	atoll	99	A	OPP	Core destroyed	874	v520	874	81	932	776	12,7	17	26.5	8	0	0	2	2	1	778	2	0	1
atoll_s99_B	atoll	99	B	OPP	Core destroyed	452	v520	452	77	28	10	3,12	1	6.5	8	2	2	2	290	1	300	37	0	1
atoll_s99_B	atoll	99	B	OPP	Core destroyed	452	v520	452	77	91	52	4,17	5	8.5	8	1	1	2	279	1	331	6	1	1
atoll_s99_B	atoll	99	B	OPP	Core destroyed	452	v520	452	77	249	357	5,14	4	6.5	8	2	2	2	8	1	365	0	0	0
atoll_s99_B	atoll	99	B	OPP	Core destroyed	452	v520	452	77	263	365	5,14	4	6.5	8	2	2	2	5	1	370	0	0	0
atoll_s99_B	atoll	99	B	OPP	Core destroyed	452	v520	452	77	281	376	2,17	4	6.5	8	2	2	2	76	0	-1	0	0	0
atoll_s99_B	atoll	99	B	OPP	Core destroyed	452	v520	452	77	334	405	7,10	25	40.5	8	0	0	2	4	1	409	1	0	1
drakkarfjord_s97_A	drakkarfjord	97	A	US	Core destroyed	99	v520	99	10	27	13	22,8	18	32.5	8	0	0	2	2	1	15	2	0	1
