tag	map	seed	seat	ours	cond	turn	arm	arrive	sent	kill	last	window	ge1	ge2	nobody	two_body_share	bought_sentinel	ge1_fp	ge2_fp	nobody_fp
atoll_s79_A	atoll	79	A	US	Core destroyed	208	v520	10	152	207	207	142	142	29	0.0	0.2042	1	142	141	0.0
atoll_s79_B	atoll	79	B	OPP	Core destroyed	285	v520	10	-1	-1	284	275	275	17	0.0	0.0618	0	275	37	0.0
atoll_s80_A	atoll	80	A	US	Core destroyed	818	v520	10	181	817	817	171	34	6	0.8012	0.0351	1	61	8	0.6433
atoll_s80_B	atoll	80	B	US	Core destroyed	145	v520	11	74	144	144	63	56	24	0.1111	0.381	1	63	53	0.0
atoll_s81_A	atoll	81	A	US	Core destroyed	570	v520	13	289	569	569	276	32	10	0.8841	0.0362	1	71	14	0.7428
atoll_s81_B	atoll	81	B	OPP	Core destroyed	223	v520	11	-1	-1	222	212	56	11	0.7358	0.0519	0	212	24	0.0
drakkarfjord_s79_A	drakkarfjord	79	A	US	Core destroyed	93	v520	14	37	92	92	23	18	7	0.2174	0.3043	1	23	19	0.0
drakkarfjord_s79_B	drakkarfjord	79	B	US	Titanium collected (tiebreak)	1000	v520	14	73	-1	999	59	45	9	0.2373	0.1525	1	59	45	0.0
drakkarfjord_s80_A	drakkarfjord	80	A	US	Core destroyed	141	v520	14	61	140	140	47	43	19	0.0851	0.4043	1	47	42	0.0
drakkarfjord_s80_B	drakkarfjord	80	B	US	Titanium collected (tiebreak)	1000	v520	14	40	-1	999	26	23	10	0.1154	0.3846	1	26	25	0.0
drakkarfjord_s81_A	drakkarfjord	81	A	US	Core destroyed	99	v520	14	43	98	98	29	23	8	0.2069	0.2759	1	29	22	0.0
drakkarfjord_s81_B	drakkarfjord	81	B	US	Core destroyed	101	v520	14	45	100	100	31	26	5	0.1613	0.1613	1	31	28	0.0
glacierkeep_s79_A	glacierkeep	79	A	US	Core destroyed	115	v520	12	59	114	114	47	42	30	0.1064	0.6383	1	47	45	0.0
glacierkeep_s79_B	glacierkeep	79	B	US	Core destroyed	457	v520	12	349	456	456	337	176	6	0.4777	0.0178	1	322	11	0.0445
glacierkeep_s80_A	glacierkeep	80	A	US	Core destroyed	195	v520	12	52	194	194	40	32	12	0.2	0.3	1	40	37	0.0
glacierkeep_s80_B	glacierkeep	80	B	OPP	Titanium collected (tiebreak)	1000	v520	12	-1	-1	999	988	950	6	0.0385	0.0061	0	981	11	0.0071
glacierkeep_s81_A	glacierkeep	81	A	US	Core destroyed	119	v520	12	63	118	118	51	43	30	0.1569	0.5882	1	51	49	0.0
glacierkeep_s81_B	glacierkeep	81	B	US	Core destroyed	457	v520	12	349	456	456	337	176	6	0.4777	0.0178	1	322	11	0.0445
midgard_s79_A	midgard	79	A	OPP	Core destroyed	317	v520	48	-1	-1	316	269	269	254	0.0	0.9442	0	269	265	0.0
midgard_s79_B	midgard	79	B	US	Core destroyed	705	v520	47	524	704	704	477	476	462	0.0021	0.9686	1	477	470	0.0
midgard_s80_A	midgard	80	A	OPP	Core destroyed	253	v520	47	44	-1	252	0	0	0			1	0	0	
midgard_s80_B	midgard	80	B	OPP	Core destroyed	401	v520	51	45	-1	400	0	0	0			1	0	0	
midgard_s81_A	midgard	81	A	US	Core destroyed	442	v520	49	301	441	441	252	252	245	0.0	0.9722	1	252	251	0.0
midgard_s81_B	midgard	81	B	OPP	Core destroyed	346	v520	49	-1	-1	345	297	91	28	0.6936	0.0943	0	92	32	0.6902
nordkap_s79_A	nordkap	79	A	US	Core destroyed	116	v520	8	60	115	115	52	50	31	0.0385	0.5962	1	52	41	0.0
nordkap_s79_B	nordkap	79	B	US	Core destroyed	366	v520	8	289	365	365	281	147	16	0.4769	0.0569	1	222	91	0.21
nordkap_s80_A	nordkap	80	A	US	Core destroyed	401	v520	8	48	400	400	40	38	21	0.05	0.525	1	40	38	0.0
nordkap_s80_B	nordkap	80	B	US	Core destroyed	314	v520	8	257	313	313	249	109	58	0.5622	0.2329	1	123	85	0.506
nordkap_s81_A	nordkap	81	A	US	Core destroyed	117	v520	8	44	116	116	36	26	14	0.2778	0.3889	1	36	35	0.0
nordkap_s81_B	nordkap	81	B	OPP	Core destroyed	373	v520	13	232	-1	372	219	218	94	0.0046	0.4292	1	219	218	0.0
yulerune_s79_A	yulerune	79	A	US	Core destroyed	323	v520	27	284	322	322	257	257	250	0.0	0.9728	1	257	256	0.0
yulerune_s79_B	yulerune	79	B	OPP	Core destroyed	383	v520	33	-1	-1	382	350	134	120	0.6171	0.3429	0	136	127	0.6114
yulerune_s80_A	yulerune	80	A	US	Core destroyed	329	v520	33	236	328	328	203	203	196	0.0	0.9655	1	203	202	0.0
yulerune_s80_B	yulerune	80	B	US	Core destroyed	453	v520	29	397	452	452	368	367	71	0.0027	0.1929	1	368	96	0.0
yulerune_s81_A	yulerune	81	A	US	Core destroyed	873	v520	31	721	872	872	690	689	684	0.0014	0.9913	1	690	687	0.0
yulerune_s81_B	yulerune	81	B	OPP	Core destroyed	160	v520	33	-1	-1	159	127	127	89	0.0	0.7008	0	127	104	0.0
