tag	map	seed	seat	ours	cond	turn	arm	game_rounds	game_jumps	eid	birth	pos	dsq_core	dsq_centre	n_seats	coverage	coverage_ferry	best_cov_site	lifetime	died	death_round	n_launch	n_launch_seat	ever_launched
atoll_s100_A	atoll	100	A	OPP	Core destroyed	465	flagoff	465	85	26	8	15,5	4	6.5	8	2	2	2	457	0	-1	78	27	1
atoll_s100_A	atoll	100	A	OPP	Core destroyed	465	flagoff	465	85	217	121	13,7	17	22.5	8	0	0	2	1	1	122	1	0	1
atoll_s100_B	atoll	100	B	OPP	Core destroyed	234	flagoff	234	3	347	212	5,11	8	18.5	8	0	0	2	1	1	213	1	0	1
atoll_s101_A	atoll	101	A	OPP	Core destroyed	504	flagoff	504	5	53	18	16,1	2	4.5	8	2	2	2	486	0	-1	2	1	1
atoll_s101_B	atoll	101	B	OPP	Core destroyed	278	flagoff	278	74	28	7	5,13	5	8.5	8	1	1	2	4	1	11	2	0	1
atoll_s101_B	atoll	101	B	OPP	Core destroyed	278	flagoff	278	74	39	12	5,14	4	6.5	8	2	2	2	3	1	15	1	0	1
atoll_s101_B	atoll	101	B	OPP	Core destroyed	278	flagoff	278	74	45	16	4,13	2	4.5	8	2	2	2	2	1	18	1	0	1
atoll_s101_B	atoll	101	B	OPP	Core destroyed	278	flagoff	278	74	61	24	0,14	1	6.5	8	2	2	2	254	0	-1	68	1	1
atoll_s102_A	atoll	102	A	OPP	Core destroyed	318	flagoff	318	43	21	6	14,5	4	6.5	8	2	2	2	3	1	9	2	1	1
atoll_s102_A	atoll	102	A	OPP	Core destroyed	318	flagoff	318	43	40	13	12,3	1	6.5	8	2	2	2	305	0	-1	39	0	1
atoll_s102_B	atoll	102	B	US	Core destroyed	349	flagoff	349	5	52	24	4,17	5	8.5	8	1	1	2	325	0	-1	0	0	0
atoll_s102_B	atoll	102	B	US	Core destroyed	349	flagoff	349	5	335	273	0,14	1	6.5	8	2	2	2	76	0	-1	0	0	0
drakkarfjord_s100_A	drakkarfjord	100	A	OPP	Core destroyed	257	flagoff	257	5	15	9	22,8	18	32.5	8	0	0	2	1	1	10	1	0	1
drakkarfjord_s100_B	drakkarfjord	100	B	US	Core destroyed	137	flagoff	137	5	15	9	7,21	20	32.5	8	0	0	2	1	1	10	1	0	1
drakkarfjord_s101_A	drakkarfjord	101	A	OPP	Core destroyed	594	flagoff	594	248	15	9	22,8	18	32.5	8	0	0	2	1	1	10	1	0	1
drakkarfjord_s101_B	drakkarfjord	101	B	US	Core destroyed	979	flagoff	979	54	15	9	7,21	20	32.5	8	0	0	2	1	1	10	1	0	1
drakkarfjord_s101_B	drakkarfjord	101	B	US	Core destroyed	979	flagoff	979	54	202	157	7,21	20	32.5	8	0	0	2	1	1	158	1	0	1
drakkarfjord_s101_B	drakkarfjord	101	B	US	Core destroyed	979	flagoff	979	54	340	345	7,21	20	32.5	8	0	0	2	1	1	346	1	0	1
drakkarfjord_s101_B	drakkarfjord	101	B	US	Core destroyed	979	flagoff	979	54	372	404	7,21	20	32.5	8	0	0	2	1	1	405	1	0	1
drakkarfjord_s101_B	drakkarfjord	101	B	US	Core destroyed	979	flagoff	979	54	411	460	7,20	25	40.5	8	0	0	2	1	1	461	1	0	1
drakkarfjord_s101_B	drakkarfjord	101	B	US	Core destroyed	979	flagoff	979	54	439	524	7,21	20	32.5	8	0	0	2	1	1	525	1	0	1
drakkarfjord_s102_A	drakkarfjord	102	A	US	Titanium collected (tiebreak)	1000	flagoff	1000	56	15	9	22,8	18	32.5	8	0	0	2	1	1	10	1	0	1
