tag	map	seed	seat	ours	cond	turn	arm	n_seats	seats_sealed	first_seal	last_seal	closure_round	closure_cum_round	atring_rounds	atring2_rounds	two_body_share	seal_rate	sealed_by_bldg	sealed_by_body	seat_first_rounds	rounds	our_team	enemy_core
atoll_s16_A	atoll	16	A	US	Core destroyed	360	parent	8	6	8	65	-1	-1	221	0	0.0	2.715	6	0	12,8,65,37,51,46	360	0	14,2
atoll_s16_B	atoll	16	B	US	Core destroyed	995	parent	8	6	36	111	-1	-1	970	309	0.3186	0.619	6	0	66,65,72,111,36,38	995	1	2,14
atoll_s17_A	atoll	17	A	US	Core destroyed	182	parent	8	5	9	42	-1	-1	178	22	0.1236	2.809	5	0	13,9,31,42,41	182	0	14,2
atoll_s17_B	atoll	17	B	OPP	Core destroyed	186	parent	8	6	7	40	-1	-1	182	50	0.2747	3.297	6	0	15,40,9,28,7,36	186	1	2,14
atoll_s18_A	atoll	18	A	OPP	Core destroyed	493	parent	8	6	7	50	-1	-1	83	10	0.1205	7.229	6	0	50,7,8,34,44,37	493	0	14,2
atoll_s18_B	atoll	18	B	OPP	Titanium collected (tiebreak)	1000	parent	8	5	8	193	-1	-1	208	49	0.2356	2.404	2	3	133,193,59,8,48	1000	1	2,14
drakkarfjord_s16_A	drakkarfjord	16	A	US	Core destroyed	364	parent	8	8	10	234	-1	234	221	0	0.0	3.62	7	1	10,11,31,234,33,43,36,40	364	0	26,4
drakkarfjord_s16_B	drakkarfjord	16	B	US	Core destroyed	911	parent	8	8	10	304	304	304	502	138	0.2749	1.594	6	2	35,37,304,40,19,13,17,10	911	1	2,24
drakkarfjord_s17_A	drakkarfjord	17	A	OPP	Core destroyed	357	parent	8	7	10	43	-1	-1	78	0	0.0	8.974	6	1	10,11,31,33,43,36,40	357	0	26,4
drakkarfjord_s17_B	drakkarfjord	17	B	US	Core destroyed	126	parent	8	8	10	48	48	48	118	0	0.0	6.78	7	1	40,36,48,33,21,14,11,10	126	1	2,24
drakkarfjord_s18_A	drakkarfjord	18	A	OPP	Core destroyed	206	parent	8	7	10	37	-1	-1	92	0	0.0	7.609	6	1	10,11,25,27,37,30,34	206	0	26,4
drakkarfjord_s18_B	drakkarfjord	18	B	US	Core destroyed	173	parent	8	8	10	46	46	46	165	0	0.0	4.848	7	1	40,36,46,33,21,14,11,10	173	1	2,24
glacierkeep_s16_A	glacierkeep	16	A	US	Titanium collected (tiebreak)	1000	parent	8	8	9	56	56	56	443	130	0.2935	1.806	8	0	51,53,21,56,17,10,14,9	1000	0	14,26
glacierkeep_s16_B	glacierkeep	16	B	US	Core destroyed	241	parent	8	8	9	36	44	36	182	58	0.3187	4.396	8	0	36,32,14,29,9,25,10,22	241	1	14,2
glacierkeep_s17_A	glacierkeep	17	A	OPP	Core destroyed	521	parent	8	8	9	56	56	56	126	71	0.5635	6.349	8	0	56,52,28,49,17,10,14,9	521	0	14,26
