tag	map	seed	seat	ours	cond	turn	arm	n_seats	seats_sealed	first_seal	last_seal	closure_round	closure_cum_round	atring_rounds	atring2_rounds	two_body_share	seal_rate	sealed_by_bldg	sealed_by_body	seat_first_rounds	rounds	our_team	enemy_core
atoll_s109_A	atoll	109	A	OPP	Core destroyed	164	v520	8	3	11	57	-1	-1	156	155	0.9936	1.923	3	0	14,11,57	164	0	14,2
atoll_s109_B	atoll	109	B	OPP	Core destroyed	272	v520	8	6	12	59	-1	-1	264	263	0.9962	2.273	6	0	24,46,22,59,12,13	272	1	2,14
atoll_s110_A	atoll	110	A	OPP	Core destroyed	402	v520	8	6	11	31	-1	-1	161	23	0.1429	3.727	5	1	12,11,22,24,31,29	402	0	14,2
atoll_s110_B	atoll	110	B	OPP	Core destroyed	193	v520	8	8	11	59	59	59	185	184	0.9946	4.324	7	1	11,27,16,24,12,59,20,34	193	1	2,14
atoll_s111_A	atoll	111	A	OPP	Titanium collected (tiebreak)	1000	v520	8	6	11	34	-1	-1	97	12	0.1237	6.186	4	2	12,11,12,13,34,19	1000	0	14,2
atoll_s111_B	atoll	111	B	US	Core destroyed	161	v520	8	6	11	46	-1	-1	153	152	0.9935	3.922	5	1	30,11,46,26,15,13	161	1	2,14
drakkarfjord_s109_A	drakkarfjord	109	A	US	Core destroyed	150	v520	8	8	14	38	38	38	138	137	0.9928	5.797	6	2	14,20,26,38,28,38,31,35	150	0	26,4
drakkarfjord_s109_B	drakkarfjord	109	B	US	Core destroyed	98	v520	8	8	14	36	36	36	86	84	0.9767	9.302	6	2	20,22,14,25,15,29,36,32	98	1	2,24
drakkarfjord_s110_A	drakkarfjord	110	A	OPP	Core destroyed	305	v520	8	8	14	38	38	38	140	111	0.7929	5.714	6	2	14,20,26,38,28,38,31,35	305	0	26,4
drakkarfjord_s110_B	drakkarfjord	110	B	US	Titanium collected (tiebreak)	1000	v520	8	8	14	31	31	31	988	986	0.998	0.81	7	1	20,22,14,26,15,30,27,31	1000	1	2,24
drakkarfjord_s111_A	drakkarfjord	111	A	US	Core destroyed	397	v520	8	8	14	33	33	33	296	194	0.6554	2.703	6	2	14,15,20,22,30,26,33,29	397	0	26,4
drakkarfjord_s111_B	drakkarfjord	111	B	US	Titanium collected (tiebreak)	1000	v520	8	8	14	31	31	31	988	602	0.6093	0.81	7	1	20,22,14,26,15,30,27,31	1000	1	2,24
glacierkeep_s109_A	glacierkeep	109	A	US	Core destroyed	158	v520	8	8	12	28	-1	28	148	147	0.9932	5.405	5	3	13,12,13,15,14,16,28,22	158	0	14,26
glacierkeep_s109_B	glacierkeep	109	B	US	Core destroyed	123	v520	8	8	12	21	32	21	113	112	0.9912	7.08	6	2	14,13,13,17,12,21,16,20	123	1	14,2
glacierkeep_s110_A	glacierkeep	110	A	US	Core destroyed	126	v520	8	8	12	28	28	28	116	115	0.9914	6.897	6	2	13,12,13,16,14,20,28,23	126	0	14,26
glacierkeep_s110_B	glacierkeep	110	B	OPP	Harvesters (tiebreak)	1000	v520	8	8	12	23	27	23	699	339	0.485	1.144	6	2	14,13,13,17,12,21,16,23	1000	1	14,2
glacierkeep_s111_A	glacierkeep	111	A	US	Core destroyed	119	v520	8	8	12	28	43	28	109	108	0.9908	7.339	6	2	13,12,13,16,14,20,28,24	119	0	14,26
glacierkeep_s111_B	glacierkeep	111	B	OPP	Titanium collected (tiebreak)	1000	v520	8	8	12	25	25	25	721	390	0.5409	1.11	6	2	14,13,13,17,12,25,16,23	1000	1	14,2
midgard_s109_A	midgard	109	A	US	Core destroyed	385	v520	8	7	48	101	-1	-1	345	339	0.9826	2.029	6	1	48,89,52,101,56,73,59	385	0	26,26
midgard_s109_B	midgard	109	B	OPP	Core destroyed	323	v520	8	6	51	85	-1	-1	168	115	0.6845	3.571	5	1	59,54,56,51,85,80	323	1	2,2
midgard_s110_A	midgard	110	A	US	Core destroyed	241	v520	8	7	52	91	-1	-1	199	199	1.0	3.518	6	1	52,78,54,91,58,53,59	241	0	26,26
midgard_s110_B	midgard	110	B	US	Core destroyed	217	v520	8	7	48	93	-1	-1	177	167	0.9435	3.955	5	2	61,79,58,88,53,93,48	217	1	2,2
midgard_s111_A	midgard	111	A	OPP	Core destroyed	378	v520	8	5	52	120	-1	-1	178	108	0.6067	2.809	5	0	52,120,56,60,78	378	0	26,26
midgard_s111_B	midgard	111	B	US	Core destroyed	793	v520	8	6	50	83	-1	-1	479	224	0.4676	1.253	5	1	61,58,58,83,54,50	793	1	2,2
nordkap_s109_A	nordkap	109	A	US	Core destroyed	203	v520	8	8	8	33	-1	33	197	142	0.7208	4.061	6	2	9,8,9,12,10,19,33,22	203	0	9,18
nordkap_s109_B	nordkap	109	B	US	Core destroyed	373	v520	8	8	13	64	64	64	367	366	0.9973	2.18	7	1	13,14,50,15,24,64,30,48	373	1	9,6
nordkap_s110_A	nordkap	110	A	US	Core destroyed	405	v520	8	8	8	37	59	37	399	398	0.9975	2.005	6	2	9,8,9,15,10,27,37,26	405	0	9,18
nordkap_s110_B	nordkap	110	B	OPP	Core destroyed	742	v520	8	7	8	63	-1	-1	286	71	0.2483	2.448	5	2	11,10,21,11,63,8,9	742	1	9,6
nordkap_s111_A	nordkap	111	A	US	Core destroyed	190	v520	8	8	8	44	44	44	184	183	0.9946	4.348	6	2	9,8,9,12,10,19,44,22	190	0	9,18
nordkap_s111_B	nordkap	111	B	US	Core destroyed	177	v520	8	8	13	68	68	68	171	170	0.9942	4.678	7	1	13,14,66,15,32,68,45,49	177	1	9,6
yulerune_s109_A	yulerune	109	A	US	Core destroyed	192	v520	8	7	34	84	-1	-1	167	165	0.988	4.192	6	1	34,84,39,40,43,49,46	192	0	16,9
yulerune_s109_B	yulerune	109	B	OPP	Core destroyed	320	v520	8	6	32	56	-1	-1	231	41	0.1775	2.597	6	0	53,48,56,45,38,32	320	1	2,9
yulerune_s110_A	yulerune	110	A	US	Titanium collected (tiebreak)	1000	v520	8	5	34	44	-1	-1	973	971	0.9979	0.514	5	0	40,34,36,38,44	1000	0	16,9
yulerune_s110_B	yulerune	110	B	US	Core destroyed	248	v520	8	6	33	46	-1	-1	191	102	0.534	3.141	6	0	46,41,33,38,36,40	248	1	2,9
yulerune_s111_A	yulerune	111	A	US	Titanium collected (tiebreak)	1000	v520	8	6	32	45	-1	-1	975	974	0.999	0.615	6	0	32,36,34,43,40,45	1000	0	16,9
yulerune_s111_B	yulerune	111	B	OPP	Core destroyed	167	v520	8	4	32	65	-1	-1	142	141	0.993	2.817	2	2	36,35,32,65	167	1	2,9
