tag	map	seed	seat	rounds	won	spawn_n	spawn1_rnd	spawn4_rnd	spawn_fwd4	spawn_fwd_pos4	spawn_n30	harv1_rnd	harv1_dour	harv1_dtheir	harv_n30	harv_n60	harv_n	opp_harv1_rnd	opp_harv_n30	opp_harv_n60	conv1_rnd	conv_n30	conv_n60	opp_conv_n30	turret_n	opp_turret_n	ti_bank30	ti_coll30	opp_coll30	ti_bank60	ti_coll60	opp_coll60	ti_bank100	ti_coll100	opp_coll100	ti_bank200	ti_coll200	opp_coll200	ti_coll_end	opp_coll_end	harv_live30	harv_wired30	conv_good30	enemy_ourring30	conv_dmin30	harv_dmin30	conv_home30	harv_live60	harv_wired60	conv_good60	enemy_ourring60	conv_dmin60	harv_dmin60	conv_home60	harv_live100	harv_wired100	conv_good100	enemy_ourring100	conv_dmin100	harv_dmin100	conv_home100	harv_live150	harv_wired150	conv_good150	enemy_ourring150	conv_dmin150	harv_dmin150	conv_home150	head2_rnd	head1_rnd	head_dmin_ever	headadj_free_rnds	headadj_enemy_rnds	headadj_own_rnds	headadj_free_share	replan_rnds	replan_share	replan_dist	ringfree_rounds_after_head2	rounds_after_head2	ringfree_share_after_head2	homering_n	eseal30	ebar30	oseal30	free30	eseal60	ebar60	oseal60	free60	eseal100	ebar100	oseal100	free100	eseal150	ebar150	oseal150	free150	eseal_first	ebar_first	eseal_max	oseal_max	eseal_mean	bots_ours	bots_theirs	moves	rev_rate	choke_step_rate	dep_rnd	arr36_rnd	arr16_rnd	n_reach36	n_reach16	reach36_share	stall_bots	bfs_cc	route_steps	route_detour	arr16_hops	arr16_walks	throws_ours	throws_opp	throw1_rnd	throws_ours30	throw_fwd	throw_back	throw_gain	turret_dmin	turret1_rnd	turret_n30	turret_n_theirhalf	fwdbuild_n	fwdbuild1_rnd	fwdbuild_n100	fc_rnd	fc_victim_ours	fc_weapon	fc_basin	fc_dour	fc_dtheir	fc_pres0	fc_pres20	atring_first8	atring_first16	atring_rnds8	atring_share8	atring_share16	atring_bodyrnds	atring_peak	establish_first	establish_rnds	establish_share	establish_peak	raider_n	raider_life_med	kill_sentinel	kill_gunner	kill_builder_attack	kill_none	apron_death_med	apron_death_first	ourbot_deaths	oppbot_deaths	death_home	death_mid	death_apron	death_tiles	death_top1	death_conc	death_med_rnd	death_choke	our_recv_sent	our_recv_gun	our_recv_peck	opp_recv_sent	opp_recv_gun	opp_recv_peck	ourcore_firsthit	ourcore_min	ourcore_r150	oppcore_firsthit	oppcore_min	oppcore_r150	tape_ours_won	tape_turn	cond
v530_icefloe_s1_A	icefloe	1	A	285	1	5	0	3	1.388	4	5	108	11	17	0	0	3	12	1	1	7	6	6	6	6	5	45	0	40	49	0	80	97	0	80	112	0	80	170	80	0	0	6	2	1	-1	1	0	0	6	2	1	-1	1	0	0	6	2	1	-1	1	1	0	6	2	1	11	1	7	7	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	1	1	0	5	1	1	0	5	1	1	0	5	1	1	0	5	9	9	1	0	0.968	5	5	1053	0.584	0.1387	6	10	10	2	2	0.4	0	28	7	0.25	3	3	37	50	6	12	37	0	225	2	5	5	4	47	9	23	13	0	builder_attack	theirs	27	1	2	2	10	10	275	0.965	0.965	421	2	11	274	0.961	11	2	-1	0	0	0	0	-1	-1	0	0	0	0	0	0	0	-1	-1	0	0	146	99	28	0	30	-1	500	500	221	0	500	1	285	Core destroyed
parent_icefloe_s1_A	icefloe	1	A	1000	0	5	0	3	1.388	4	5	6	6	22	2	2	6	13	1	2	7	8	8	6	12	5	48	0	40	82	0	110	72	0	320	65	0	840	0	1060	2	0	0	4	2	6	0	2	0	0	4	2	6	0	3	0	0	4	2	6	0	3	0	0	4	2	6	0	16	-1	2	0	984	0	0.0	984	1.0	2.69	984	984	1.0	8	3	3	0	4	3	3	0	4	3	3	0	4	3	3	0	4	9	9	4	0	3.066	5	5	4215	0.3523	0.0316	6	10	10	2	2	0.4	0	28	7	0.25	3	3	211	44	6	11	211	0	1247	2	5	3	4	147	9	21	12	0	builder_attack	theirs	27	1	2	2	10	10	989	0.989	0.99	1473	2	11	989	0.989	10	2	-1	0	0	0	0	-1	-1	0	2	0	0	0	0	0	-1	-1	0	0	619	203	8	0	86	-1	500	500	-1	500	500	0	1000	Titanium collected (tiebreak)
flagoff_icefloe_s1_A	icefloe	1	A	1000	0	9	0	3	1.388	4	5	6	6	22	2	2	7	15	1	1	7	8	8	9	13	6	34	0	0	12	0	80	72	0	220	64	0	890	0	930	2	0	0	4	2	6	0	2	0	0	8	2	6	0	2	0	0	7	2	6	0	2	0	0	7	2	6	0	16	-1	2	0	984	0	0.0	957	0.973	3.02	957	984	0.973	8	4	4	0	4	8	8	0	0	7	7	0	1	7	7	0	1	9	9	8	0	6.829	9	8	3911	0.2038	0.0478	6	10	10	4	4	0.444	0	28	7	0.25	3	3	298	286	6	10	298	0	1760	3	5	4	4	103	9	7	12	0	builder_attack	theirs	27	1	2	2	10	10	909	0.909	0.948	1294	2	11	980	0.98	10	4	443	0	3	0	0	462	454	3	1	0	0	3	3	1	0.333	462	0	0	428	179	0	25	138	-1	500	500	-1	500	500	0	1000	Titanium collected (tiebreak)
nomouth_icefloe_s1_A	icefloe	1	A	118	1	4	0	3	1.388	4	4	6	6	22	2	3	3	12	1	3	7	9	9	6	6	5	43	40	40	21	110	70	14	210	70	0	250	70	250	70	2	1	6	2	1	6	1	3	1	6	2	1	6	1	3	1	6	2	1	6	1	0	0	0	0	-1	-1	0	17	19	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	1	1	0	5	1	1	0	5	1	1	0	5	-1	-1	-1	-1	9	9	1	0	0.924	4	5	361	0.3961	0.036	6	10	10	2	2	0.5	0	28	7	0.25	3	3	24	87	6	12	24	0	133	3	5	5	4	18	9	16	13	0	builder_attack	theirs	27	1	2	2	10	10	106	0.898	0.915	141	2	11	107	0.907	11	2	-1	0	0	0	0	-1	-1	0	0	0	0	0	0	0	-1	-1	0	0	31	16	28	0	28	-1	500	500	61	0	0	1	118	Core destroyed
ring_icefloe_s1_A	icefloe	1	A	412	0	6	0	3	1.388	4	5	125	9	19	0	0	6	12	2	2	2	7	9	12	15	15	15	0	60	57	0	210	75	0	390	85	0	1460	890	5070	0	0	7	1	1	-1	2	0	0	9	1	1	-1	4	0	0	9	1	1	-1	4	1	0	9	1	1	9	4	2	2	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	1	1	0	4	1	1	0	3	1	1	0	3	1	1	0	3	10	10	3	0	1.393	6	15	1366	0.4363	0.0307	6	10	10	3	3	0.5	0	28	7	0.25	3	3	80	51	6	12	80	0	469	3	5	5	3	15	9	14	13	0	builder_attack	theirs	27	1	2	2	10	10	247	0.6	0.6	278	2	11	102	0.248	6	3	47	1	2	0	0	194	57	3	4	0	0	3	3	1	0.333	194	0	36	38	121	32	11	89	285	0	500	-1	500	500	0	412	Core destroyed
v530_icefloe_s1_B	icefloe	1	B	320	1	8	0	3	1.458	4	5	94	6	22	0	0	6	10	2	3	5	9	11	13	12	10	5	0	40	55	0	190	44	0	320	182	660	780	1550	1210	0	0	6	1	1	-1	1	0	0	6	1	1	-1	1	1	0	6	1	1	6	1	6	3	13	3	1	6	2	5	5	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	1	1	0	6	1	1	0	6	1	1	0	6	2	2	0	4	10	10	4	0	2.078	8	10	1046	0.2371	0.0402	6	10	10	4	4	0.5	0	28	7	0.25	3	3	46	84	6	9	46	0	303	2	5	5	6	13	9	8	11	1	builder_attack	ours	1	27	2	2	10	10	158	0.494	0.525	223	2	11	309	0.966	4	4	82	4	0	0	0	259	93	4	2	0	0	4	3	2	0.5	259	0	16	0	142	43	96	22	-1	500	500	265	0	500	1	320	Core destroyed
parent_icefloe_s1_B	icefloe	1	B	299	0	5	0	3	1.458	4	4	8	6	22	3	3	4	10	1	2	9	8	8	11	5	10	63	0	40	77	0	60	47	0	340	84	0	1070	0	2200	3	0	0	5	2	6	0	3	0	0	5	2	6	0	3	0	4	5	1	6	1	3	0	0	5	2	6	0	14	86	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	4	4	0	3	4	4	0	3	4	4	0	2	4	4	0	3	10	10	4	0	3.793	5	7	532	0.3816	0.0	6	10	10	2	2	0.4	1	28	7	0.25	3	3	44	87	6	10	44	0	241	2	5	4	2	13	9	10	12	0	builder_attack	theirs	27	1	2	2	10	10	180	0.602	0.602	346	2	11	288	0.963	4	2	168	1	1	0	0	190	178	2	1	0	0	2	2	1	0.5	190	0	87	19	104	3	0	93	161	0	500	-1	500	500	0	299	Core destroyed
flagoff_icefloe_s1_B	icefloe	1	B	120	0	4	0	3	1.458	4	4	8	6	22	3	4	4	10	2	3	9	8	11	14	4	7	57	0	60	45	0	180	55	0	460	86	0	610	0	610	3	0	0	5	2	6	0	4	0	0	5	2	6	0	4	0	4	5	1	6	1	0	0	0	0	-1	-1	0	14	90	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	4	4	0	3	4	4	0	3	4	4	0	2	-1	-1	-1	-1	10	10	4	0	3.483	4	5	229	0.2052	0.0	6	10	10	2	2	0.5	0	28	7	0.25	3	3	29	16	6	10	29	0	165	2	5	4	2	7	9	7	12	0	builder_attack	theirs	27	1	2	2	10	10	110	0.917	0.917	153	2	11	109	0.908	5	2	44	0	1	0	0	54	54	1	0	0	0	1	1	1	1.0	54	0	35	6	59	0	0	10	87	0	0	-1	500	500	0	120	Core destroyed
nomouth_icefloe_s1_B	icefloe	1	B	246	0	5	0	3	1.458	4	4	8	6	22	3	3	4	10	2	2	10	7	7	10	6	8	57	0	30	91	0	40	40	0	40	83	0	450	0	620	3	0	0	4	2	6	0	3	0	0	4	2	6	0	4	0	0	4	2	6	0	4	0	0	4	2	6	0	15	-1	2	0	231	0	0.0	231	1.0	2.0	231	231	1.0	8	3	3	0	4	3	3	0	4	3	3	0	4	3	3	0	4	10	10	3	0	2.862	5	5	590	0.1153	0.0051	6	10	10	3	3	0.6	0	28	7	0.25	3	3	74	84	6	10	74	0	432	2	5	4	3	10	9	7	12	0	builder_attack	theirs	27	1	2	2	10	10	222	0.902	0.915	319	2	11	235	0.955	5	3	104	1	1	0	0	148	114	2	0	0	0	2	2	1	0.5	148	0	33	6	84	0	0	94	191	0	500	-1	500	500	0	246	Core destroyed
ring_icefloe_s1_B	icefloe	1	B	472	0	12	0	3	1.435	4	5	142	6	22	0	0	5	10	2	3	2	10	10	12	24	20	12	0	0	58	0	90	71	0	190	76	210	970	1940	7070	0	0	6	1	1	-1	2	0	0	6	1	1	-1	2	0	0	6	1	1	-1	2	2	1	6	1	1	6	2	2	2	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	1	1	0	5	1	1	0	5	1	1	0	5	1	1	0	5	10	10	5	0	1.307	12	14	1607	0.3255	0.0081	6	10	10	7	7	0.583	0	28	7	0.25	3	3	136	51	6	9	136	0	698	2	5	5	6	26	9	12	11	1	builder_attack	ours	1	27	2	2	10	10	237	0.502	0.528	363	2	11	251	0.532	4	7	27	7	0	0	0	327	129	7	8	0	0	7	7	1	0.143	327	0	82	0	180	68	0	100	441	0	500	326	212	500	0	472	Core destroyed
v530_icefloe_s2_A	icefloe	2	A	380	0	8	0	3	1.388	4	5	150	6	22	0	0	5	16	1	2	7	9	9	9	14	11	14	0	0	71	0	90	85	0	190	111	170	970	680	3500	0	0	6	1	1	-1	1	0	0	6	1	1	-1	1	0	0	6	1	1	-1	1	1	0	6	1	1	6	1	7	7	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	1	1	1	4	1	1	1	4	1	1	1	4	1	1	1	4	9	9	4	1	1.529	8	8	1305	0.5962	0.0536	6	10	10	5	5	0.625	1	28	7	0.25	3	3	45	43	6	8	45	0	278	3	5	5	5	18	9	11	13	0	builder_attack	theirs	27	1	2	2	10	10	178	0.468	0.55	264	2	11	175	0.461	5	5	54	4	1	0	0	271	137	5	2	0	0	5	4	2	0.4	271	0	46	22	196	20	0	96	353	0	500	237	468	500	0	380	Core destroyed
parent_icefloe_s2_A	icefloe	2	A	162	0	5	0	3	1.388	4	5	6	6	22	2	2	2	16	1	2	7	8	8	8	7	6	8	0	0	14	0	110	71	0	310	23	0	610	0	610	2	0	0	6	2	6	0	2	0	0	5	2	6	0	2	0	0	5	2	6	0	2	0	0	5	2	6	0	28	-1	2	0	134	0	0.0	134	1.0	3.04	134	134	1.0	8	5	5	0	1	4	4	0	3	4	4	0	3	4	4	0	3	9	9	5	0	3.716	5	5	558	0.2921	0.0197	6	10	10	2	2	0.4	0	28	7	0.25	3	3	43	16	6	10	43	0	242	3	5	4	4	11	9	5	14	0	sentinel	ours	2	29	2	2	10	10	148	0.914	0.938	256	2	20	142	0.877	3	2	146	0	1	0	0	156	156	1	0	0	0	1	1	1	1.0	156	0	28	15	87	3	0	55	107	0	104	-1	500	500	0	162	Core destroyed
flagoff_icefloe_s2_A	icefloe	2	A	201	0	5	0	3	1.388	4	5	6	6	22	2	2	4	53	0	1	7	8	8	6	5	9	40	0	0	26	0	10	36	0	160	83	0	890	0	890	2	0	0	4	2	6	0	2	0	0	4	2	6	0	3	0	0	4	2	6	0	4	0	0	4	2	6	0	16	-1	2	0	185	0	0.0	185	1.0	4.0	185	185	1.0	8	3	3	0	4	3	3	0	4	3	3	0	4	3	3	0	4	9	9	4	0	2.841	5	5	567	0.2046	0.0459	6	10	10	2	2	0.4	0	28	7	0.25	3	3	46	46	6	10	46	0	266	3	5	3	3	13	9	10	12	0	builder_attack	theirs	27	1	2	2	10	10	146	0.726	0.925	178	2	11	190	0.945	7	2	47	2	0	0	0	196	57	2	0	0	0	2	2	1	0.5	196	0	35	0	94	0	0	77	146	0	446	-1	500	500	0	201	Core destroyed
