tag	map	seed	seat	rounds	won	spawn_n	spawn1_rnd	spawn4_rnd	spawn_fwd4	spawn_fwd_pos4	spawn_n30	harv1_rnd	harv1_dour	harv1_dtheir	harv_n30	harv_n60	harv_n	opp_harv1_rnd	opp_harv_n30	opp_harv_n60	conv1_rnd	conv_n30	conv_n60	opp_conv_n30	turret_n	opp_turret_n	ti_bank30	ti_coll30	opp_coll30	ti_bank60	ti_coll60	opp_coll60	ti_bank100	ti_coll100	opp_coll100	ti_bank200	ti_coll200	opp_coll200	ti_coll_end	opp_coll_end	harv_live30	harv_wired30	conv_good30	enemy_ourring30	conv_dmin30	harv_dmin30	conv_home30	harv_live60	harv_wired60	conv_good60	enemy_ourring60	conv_dmin60	harv_dmin60	conv_home60	harv_live100	harv_wired100	conv_good100	enemy_ourring100	conv_dmin100	harv_dmin100	conv_home100	harv_live150	harv_wired150	conv_good150	enemy_ourring150	conv_dmin150	harv_dmin150	conv_home150	head2_rnd	head1_rnd	head_dmin_ever	headadj_free_rnds	headadj_enemy_rnds	headadj_own_rnds	headadj_free_share	replan_rnds	replan_share	replan_dist	ringfree_rounds_after_head2	rounds_after_head2	ringfree_share_after_head2	homering_n	eseal30	ebar30	oseal30	free30	eseal60	ebar60	oseal60	free60	eseal100	ebar100	oseal100	free100	eseal150	ebar150	oseal150	free150	eseal_first	ebar_first	eseal_max	oseal_max	eseal_mean	bots_ours	bots_theirs	moves	rev_rate	choke_step_rate	dep_rnd	arr36_rnd	arr16_rnd	n_reach36	n_reach16	reach36_share	stall_bots	bfs_cc	route_steps	route_detour	arr16_hops	arr16_walks	throws_ours	throws_opp	throw1_rnd	throws_ours30	throw_fwd	throw_back	throw_gain	turret_dmin	turret1_rnd	turret_n30	turret_n_theirhalf	fwdbuild_n	fwdbuild1_rnd	fwdbuild_n100	fc_rnd	fc_victim_ours	fc_weapon	fc_basin	fc_dour	fc_dtheir	fc_pres0	fc_pres20	atring_first8	atring_first16	atring_rnds8	atring_share8	atring_share16	atring_bodyrnds	atring_peak	establish_first	establish_rnds	establish_share	establish_peak	raider_n	raider_life_med	kill_sentinel	kill_gunner	kill_builder_attack	kill_none	apron_death_med	apron_death_first	ourbot_deaths	oppbot_deaths	death_home	death_mid	death_apron	death_tiles	death_top1	death_conc	death_med_rnd	death_choke	our_recv_sent	our_recv_gun	our_recv_peck	opp_recv_sent	opp_recv_gun	opp_recv_peck	ourcore_firsthit	ourcore_min	ourcore_r150	oppcore_firsthit	oppcore_min	oppcore_r150	tape_ours_won	tape_turn	cond
v530_atoll_s1_A	atoll	1	A	264	1	5	0	3	0.0	2	5	6	3	27	2	2	2	2	3	3	2	4	4	13	8	2	30	120	140	62	270	320	52	370	430	86	770	680	1080	830	2	2	4	1	1	3	2	2	1	3	4	1	3	2	2	1	3	2	1	3	2	2	2	4	2	1	3	2	2	2	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	1	1	0	3	3	3	0	3	2	2	0	2	2	2	0	2	22	22	3	0	1.924	5	5	646	0.7508	0.0062	6	8	8	2	2	0.4	2	22	5	0.227	2	2	6	51	6	6	6	0	34	1	5	5	4	41	9	19	11	0	builder_attack	theirs	24	1	2	2	8	8	256	0.97	0.97	395	2	9	255	0.966	9	2	-1	0	0	0	0	-1	-1	0	2	0	0	0	0	0	-1	-1	0	136	0	10	38	0	32	17	450	490	193	0	500	1	264	Core destroyed
parent_atoll_s1_A	atoll	1	A	501	1	8	0	3	0.0	2	5	2	3	27	3	4	4	6	3	4	3	10	14	11	20	10	16	120	100	21	270	250	31	400	450	143	900	950	2400	2450	3	2	4	2	1	3	2	4	1	3	6	1	3	2	4	2	4	5	1	3	2	4	2	6	2	1	3	3	3	3	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	2	2	0	4	5	5	0	1	5	5	0	1	2	2	0	3	24	24	6	0	2.437	8	14	1574	0.5877	0.0235	6	8	8	7	6	0.875	0	22	5	0.227	2	2	10	323	6	5	10	0	63	2	5	5	5	34	11	5	12	1	sentinel	theirs	21	1	2	2	8	8	200	0.399	0.507	211	2	11	490	0.978	5	7	31	5	0	0	0	196	22	5	5	0	0	5	3	3	0.6	196	0	22	205	15	79	46	4	160	468	500	323	0	500	1	501	Core destroyed
flagoff_atoll_s1_A	atoll	1	A	880	0	5	0	3	0.0	2	5	2	3	27	3	3	3	3	3	4	3	10	12	12	7	15	14	120	110	6	270	270	18	420	470	4	670	970	2360	4360	3	2	4	4	1	3	2	3	2	4	7	1	3	2	3	1	3	6	1	3	2	3	1	3	7	1	3	2	3	3	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	4	4	0	2	6	6	0	0	5	5	0	1	6	6	0	0	20	20	6	0	4.719	5	8	1052	0.5913	0.0228	6	8	8	4	2	0.8	0	22	5	0.227	2	2	5	11	6	4	5	0	32	3	5	5	3	33	11	8	12	0	builder_attack	theirs	21	1	2	2	8	8	218	0.248	0.248	414	2	11	869	0.988	5	4	208	3	0	0	0	226	217	3	3	0	1	2	3	1	0.333	226	0	307	15	14	0	728	9	377	0	500	-1	500	500	0	880	Core destroyed
nomouth_atoll_s1_A	atoll	1	A	224	1	5	0	3	0.0	2	5	2	3	27	2	2	3	4	3	3	3	4	4	7	8	2	83	100	100	52	250	100	16	450	100	16	950	100	1070	100	2	2	4	2	1	3	2	2	2	4	1	1	3	2	2	2	4	1	1	3	2	3	2	4	1	1	3	2	3	3	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	1	1	0	5	1	1	0	5	1	1	0	5	1	1	0	5	26	26	1	0	0.884	5	6	741	0.3806	0.0783	6	8	8	4	2	0.8	0	22	5	0.227	2	2	5	9	6	5	5	0	30	2	5	4	3	9	9	8	11	0	builder_attack	theirs	25	1	2	2	9	8	112	0.5	0.808	120	2	9	215	0.96	9	4	15	2	0	0	0	189	18	2	3	0	0	2	2	1	0.5	189	0	6	0	4	107	0	30	-1	500	500	73	0	298	1	224	Core destroyed
nocorner_atoll_s1_A	atoll	1	A	181	0	5	0	3	0.0	2	5	6	3	27	2	3	3	3	3	3	2	4	18	12	5	5	89	120	110	84	220	270	25	220	600	83	220	1600	220	1600	2	2	4	4	1	3	2	3	0	2	8	1	3	2	3	0	2	8	1	3	2	3	0	2	8	1	3	2	2	2	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	3	3	0	3	6	6	0	0	6	6	0	0	6	6	0	0	21	21	6	0	5.072	5	8	601	0.5308	0.0349	6	8	8	3	2	0.6	0	22	5	0.227	2	2	4	1	6	4	4	0	28	3	5	4	1	38	11	22	12	1	sentinel	theirs	21	1	2	2	8	8	173	0.956	0.956	196	2	11	170	0.939	7	3	31	1	1	0	0	40	40	2	1	1	0	1	2	1	0.5	136	0	97	32	20	6	0	0	133	0	338	-1	500	500	0	181	Core destroyed
nodoor_atoll_s1_A	atoll	1	A	509	0	14	0	3	0.0	2	5	6	3	27	3	4	10	7	3	3	2	10	13	8	20	21	57	120	40	22	270	120	22	470	220	19	970	480	2370	3550	3	2	4	2	1	3	2	4	2	4	5	1	3	2	4	2	4	6	1	3	2	4	2	4	3	1	3	2	2	2	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	2	2	0	4	4	4	0	2	5	5	0	1	3	3	0	2	26	26	5	0	2.996	14	9	1141	0.6074	0.0184	6	8	8	7	6	0.5	2	22	5	0.227	2	2	13	47	6	4	13	0	91	2	5	4	3	8	12	6	11	1	sentinel	theirs	20	2	2	2	8	8	55	0.108	0.118	64	2	12	497	0.976	6	7	7	6	1	0	0	215	18	7	4	1	0	6	3	4	0.571	215	0	124	85	7	42	5	0	121	0	500	-1	500	500	0	509	Core destroyed
ring_atoll_s1_A	atoll	1	A	764	1	5	0	3	0.0	2	5	6	3	27	2	2	2	4	3	4	2	9	14	13	8	1	60	120	140	51	260	350	12	340	480	88	440	480	1850	480	2	2	9	3	1	3	6	2	2	7	6	1	3	5	2	0	4	7	1	3	4	2	0	4	7	1	3	4	2	2	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	2	2	0	0	3	3	0	0	4	4	0	0	4	4	0	0	23	23	4	0	3.692	5	6	2399	0.6799	0.0525	6	8	8	3	2	0.6	0	22	5	0.227	2	2	4	5	6	4	4	0	28	1	5	4	4	56	11	21	12	1	sentinel	theirs	21	1	2	2	8	8	753	0.986	0.99	1180	2	11	753	0.986	13	3	-1	0	0	0	0	-1	-1	0	0	0	0	0	0	0	-1	-1	0	85	0	82	28	611	40	-1	500	500	229	0	500	1	764	Core destroyed
v530_atoll_s1_B	atoll	1	B	157	0	5	0	3	1.061	3	5	5	3	22	1	1	1	4	3	4	2	3	3	11	5	3	25	0	120	37	0	310	35	0	580	45	0	1120	0	1120	1	0	3	3	1	3	2	1	0	3	6	1	3	2	1	0	3	6	1	3	2	1	0	3	6	1	3	2	2	2	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	3	3	0	3	6	6	0	0	6	6	0	0	6	6	0	0	22	22	6	0	4.803	5	6	253	0.6008	0.2174	6	8	8	2	2	0.4	1	22	5	0.227	2	2	6	3	6	6	6	0	32	2	5	5	3	12	9	10	13	1	sentinel	theirs	19	3	2	2	9	8	148	0.943	0.949	273	2	9	148	0.943	8	2	127	1	0	0	0	135	135	1	0	0	0	1	1	1	1.0	135	0	90	0	0	0	0	23	41	0	54	-1	500	500	0	157	Core destroyed
parent_atoll_s1_B	atoll	1	B	223	1	5	0	3	1.061	3	5	2	3	22	2	3	3	3	3	3	3	4	9	8	6	2	41	120	120	78	260	240	14	420	350	15	670	600	730	650	2	2	4	3	1	3	2	3	2	4	5	1	3	2	3	1	2	6	1	3	1	3	1	2	7	1	3	1	3	3	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	3	3	0	3	5	5	0	0	6	6	0	0	7	7	0	0	21	21	7	0	5.386	5	5	410	0.6732	0.0073	6	8	8	3	2	0.6	2	22	5	0.227	2	2	5	11	6	5	5	0	32	3	5	5	3	10	12	10	14	1	sentinel	ours	0	23	2	2	8	8	214	0.96	0.964	398	2	12	211	0.946	8	3	-1	0	0	0	0	-1	-1	0	1	0	0	0	0	0	-1	-1	0	91	0	10	65	0	20	14	162	400	79	0	226	1	223	Core destroyed
flagoff_atoll_s1_B	atoll	1	B	395	0	13	0	3	1.061	3	5	2	3	22	3	3	5	2	3	5	3	11	13	13	14	19	33	120	140	72	290	400	12	630	910	62	1180	2150	2160	4580	3	2	4	2	1	3	2	3	3	13	3	1	3	3	3	3	13	2	1	3	3	2	2	12	2	1	3	3	3	3	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	2	2	0	4	3	3	0	1	2	2	0	2	2	2	0	2	24	24	4	0	1.995	13	16	926	0.5842	0.0238	6	8	8	5	3	0.385	2	22	5	0.227	2	2	6	33	6	5	6	0	39	2	5	4	1	7	10	7	12	1	sentinel	theirs	21	1	2	2	8	8	66	0.167	0.172	83	2	10	385	0.975	4	5	19	2	3	0	0	57	27	5	8	0	2	3	4	2	0.4	163	0	101	43	2	32	25	8	128	0	380	-1	500	500	0	395	Core destroyed
