tag	siege_r	idle_r	ammo_med	lt10	ge10	ge120	idle_med
atoll_s1_A	384	33	4.0	0.9036458333333334	0.09635416666666667	0.0	16
atoll_s1_B	91	67	51	0.0	1.0	0.0	24
atoll_s2_A	822	178	129.0	0.038929440389294405	0.9610705596107056	0.9002433090024331	139.0
atoll_s2_B	0	152	-1	-1	-1	-1	24.0
atoll_s3_A	0	1000	-1	-1	-1	-1	44.0
atoll_s3_B	95	111	80	0.0	1.0	0.0	24
drakkarfjord_s1_A	291	161	127	0.0	1.0	0.5498281786941581	16
drakkarfjord_s1_B	55	146	27	0.0	1.0	0.0	24.0
drakkarfjord_s2_A	0	610	-1	-1	-1	-1	24.0
drakkarfjord_s2_B	55	68	153	0.0	1.0	1.0	0.0
drakkarfjord_s3_A	54	354	226.5	0.0	1.0	1.0	80.0
drakkarfjord_s3_B	83	57	153	0.0	1.0	0.9156626506024096	4
glacierkeep_s1_A	55	92	24	0.05454545454545454	0.9454545454545454	0.0	24.0
glacierkeep_s1_B	935	65	0	0.9957219251336898	0.0042780748663101605	0.0	24
glacierkeep_s2_A	164	217	4.0	0.9634146341463414	0.036585365853658534	0.0	15
glacierkeep_s2_B	75	66	0	0.5733333333333334	0.4266666666666667	0.0	24.0
glacierkeep_s3_A	104	77	3.0	0.9711538461538461	0.028846153846153848	0.0	24
glacierkeep_s3_B	55	225	165	0.0	1.0	0.9272727272727272	112
midgard_s1_A	91	117	156	0.0	1.0	0.6703296703296703	16
midgard_s1_B	81	43	143	0.012345679012345678	0.9876543209876543	0.8271604938271605	16
midgard_s2_A	55	143	136	0.0	1.0	0.5454545454545454	20
midgard_s2_B	142	59	42.0	0.39436619718309857	0.6056338028169014	0.2746478873239437	16
midgard_s3_A	116	77	6.0	0.7844827586206896	0.21551724137931033	0.0	16
midgard_s3_B	7	161	86	0.14285714285714285	0.8571428571428571	0.2857142857142857	145
nordkap_s1_A	0	346	-1	-1	-1	-1	24.0
nordkap_s1_B	0	216	-1	-1	-1	-1	19.0
nordkap_s2_A	61	419	17	0.3442622950819672	0.6557377049180327	0.0	24
nordkap_s2_B	55	125	19	0.23636363636363636	0.7636363636363637	0.0	24
nordkap_s3_A	759	194	109	0.0	1.0	0.02766798418972332	29.5
nordkap_s3_B	67	126	7	0.7761194029850746	0.22388059701492538	0.0	24.0
