w1_3	midgard	A	341001	111	INSTR	C63	A	3	110	60	0	59	57	2	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
w1_3	midgard	A	341001	111	INSTR	C63	A	5	110	84	13	84	77	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
w1_3	midgard	A	341001	111	INSTR	C63	A	7	110	39	5	27	24	3	12	12	11	1	0	0	0	0	0	0	0	0	0	12	0	0	2	0	0	0	0
w1_3	midgard	A	341001	111	INSTR	C63	A	9	110	64	5	56	54	2	8	8	5	3	0	2	0	0	0	0	0	0	0	6	1	1	0	0	0	0	0
w1_3	midgard	A	341001	111	INSTR	C63	A	11	110	84	1	46	39	7	38	37	4	33	0	19	0	0	1	0	0	0	0	36	1	1	30	0	0	0	0
w1_3	midgard	A	341001	111	INSTR	C63	A	98	110	71	0	57	53	4	14	14	1	13	0	4	0	0	0	0	0	0	0	13	1	0	7	0	0	0	0
w1_3	midgard	A	341001	111	INSTR	C63	A	18	110	52	0	51	51	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0
w1_4	midgard	B	341001	117	INSTR	C63	B	4	116	54	0	51	51	0	3	3	0	3	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0
w1_4	midgard	B	341001	117	INSTR	C63	B	6	116	60	4	55	53	2	5	5	0	5	0	5	0	0	0	0	0	0	0	3	2	0	4	0	0	0	0
w1_4	midgard	B	341001	117	INSTR	C63	B	8	116	84	5	61	60	1	23	21	11	10	0	18	0	0	2	0	0	0	0	20	1	2	16	0	0	0	0
w1_4	midgard	B	341001	117	INSTR	C63	B	10	116	58	0	54	50	4	4	4	3	1	0	1	0	0	0	0	0	0	0	4	0	0	1	0	0	0	0
w1_4	midgard	B	341001	117	INSTR	C63	B	12	116	44	0	40	39	1	4	3	3	0	0	3	0	0	1	0	0	0	0	3	0	1	0	0	0	0	0
w1_4	midgard	B	341001	117	INSTR	C63	B	32	79	61	0	53	51	2	8	8	3	5	0	1	0	0	0	0	0	0	0	5	3	0	4	0	0	0	0
w1_7	midgard	A	341003	126	CTRL	C63	A	3	125	53	0	53	50	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
w1_7	midgard	A	341003	126	CTRL	C63	A	5	125	73	9	69	64	5	4	3	3	0	0	0	0	0	1	0	0	0	0	3	0	1	1	0	0	0	0
w1_7	midgard	A	341003	126	CTRL	C63	A	7	125	98	5	87	77	10	11	10	10	0	0	0	0	0	1	0	0	0	0	10	0	1	12	0	0	0	0
w1_7	midgard	A	341003	126	CTRL	C63	A	9	75	60	0	57	55	2	3	3	3	0	0	1	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0
w1_7	midgard	A	341003	126	CTRL	C63	A	11	125	54	5	50	41	9	4	3	3	0	0	0	0	0	1	0	0	0	0	3	0	1	3	0	0	0	0
w1_7	midgard	A	341003	126	CTRL	C63	A	379	125	6	0	6	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
w1_7	midgard	A	341003	126	CTRL	C63	A	20	67	53	0	49	46	3	4	4	3	1	0	3	0	0	0	0	0	0	0	4	0	0	2	0	0	0	0
w1_8	midgard	B	341003	282	CTRL	C63	B	4	124	71	0	67	58	9	4	4	0	4	0	0	0	0	0	0	0	0	0	1	3	0	1	0	0	0	0
w1_8	midgard	B	341003	282	CTRL	C63	B	6	281	220	4	138	135	3	82	17	7	10	0	6	64	0	1	0	0	0	0	13	66	3	128	0	64	0	0
w1_8	midgard	B	341003	282	CTRL	C63	B	8	281	197	5	154	137	17	43	41	41	0	0	40	0	0	2	0	0	0	0	40	1	2	84	0	0	0	0
w1_8	midgard	B	341003	282	CTRL	C63	B	10	83	60	5	52	50	2	8	8	4	4	0	6	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0
w1_8	midgard	B	341003	282	CTRL	C63	B	12	281	265	5	150	138	12	115	69	8	61	0	32	22	24	0	0	0	0	0	109	6	0	176	0	22	0	0
w1_8	midgard	B	341003	282	CTRL	C63	B	14	73	58	0	53	51	2	5	5	0	5	0	1	0	0	0	0	0	0	0	3	2	0	2	0	0	0	0
w1_11	midgard	A	341005	142	CTRL	C63	A	3	85	71	0	69	64	5	2	2	0	2	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0
