r	our_core_hp	opp_core_hp	our_ti	our_ammo	our_coll	opp_ti	opp_ammo	opp_coll	sent	gun	lau	bot	near_bot	near_sent	near_lau	opp_near_bot
0	500	500	470	0	0	470	0	0	0	0	0	1	0	0	0	0
1	500	500	406	0	0	434	0	0	0	0	1	2	0	0	0	0
2	500	500	361	0	0	392	0	0	0	0	0	3	0	0	0	0
3	500	500	305	0	0	318	0	0	0	0	1	3	0	0	0	0
4	500	500	295	0	0	257	0	0	0	0	0	3	0	0	0	0
5	500	500	262	0	0	216	0	0	0	0	1	3	0	0	0	0
6	500	500	272	0	10	188	16	0	0	0	0	3	0	0	0	0
7	500	500	249	0	10	198	16	0	0	0	1	3	0	0	0	0
8	500	500	249	0	10	202	16	10	0	0	0	3	0	0	0	0
9	500	500	216	0	10	202	16	10	0	0	1	3	0	0	0	0
10	500	500	226	0	20	212	16	20	0	0	0	3	0	0	0	0
11	500	500	203	0	20	214	24	20	0	0	1	3	0	0	1	0
12	500	500	203	0	20	117	24	30	0	0	1	3	0	0	1	0
13	500	500	203	0	20	110	14	30	0	0	1	3	0	0	1	0
14	500	500	178	0	30	110	24	40	0	0	2	3	0	0	2	0
15	500	500	91	0	30	41	14	40	0	0	1	4	0	0	1	0
16	500	500	69	16	30	34	24	50	0	0	1	4	0	0	1	0
17	500	500	69	16	30	34	24	50	0	0	1	4	0	0	1	0
18	500	500	73	16	40	37	24	60	0	0	1	4	0	0	1	0
19	500	500	83	16	40	47	24	60	0	0	1	4	0	0	1	0
20	500	500	93	16	50	40	24	60	0	0	1	4	0	0	1	0
21	500	500	93	16	50	50	24	70	0	0	1	4	0	0	1	0
22	500	500	103	16	60	70	24	90	0	0	1	4	1	0	1	0
23	500	500	107	16	60	28	24	90	0	0	1	4	1	0	1	0
24	500	500	74	16	70	48	24	110	0	0	1	4	1	0	1	0
25	500	500	66	16	70	48	24	110	0	0	1	4	1	0	1	0
26	500	500	74	16	80	58	24	120	0	0	1	4	1	0	1	0
27	500	500	76	16	80	60	24	120	0	0	1	4	1	0	1	0
28	500	500	78	16	90	70	24	130	0	0	1	4	1	0	1	0
