tag	siege_r	idle_r	ammo_med	lt10	ge10	ge120	idle_med
atoll_s1_A	69	111	182	0.0	1.0	0.8260869565217391	22
atoll_s1_B	0	280	-1	-1	-1	-1	23.0
atoll_s2_A	359	311	185	0.0	1.0	0.7799442896935933	100
atoll_s2_B	63	424	157	0.0	1.0	0.8253968253968254	60.0
atoll_s3_A	123	32	160	0.0	1.0	0.8780487804878049	16.0
atoll_s3_B	52	194	117.0	0.0	1.0	0.4807692307692308	24.0
drakkarfjord_s1_A	101	72	8	0.9504950495049505	0.04950495049504951	0.0	14.0
drakkarfjord_s1_B	36	964	163.0	0.0	1.0	0.8333333333333334	60.0
drakkarfjord_s2_A	10	846	78.0	0.0	1.0	0.0	60.0
drakkarfjord_s2_B	0	454	-1	-1	-1	-1	2.0
drakkarfjord_s3_A	493	70	5	0.845841784989858	0.15415821501014199	0.016227180527383367	16.0
drakkarfjord_s3_B	62	93	14.0	0.3064516129032258	0.6935483870967742	0.0	19
glacierkeep_s1_A	602	318	5.0	0.9883720930232558	0.011627906976744186	0.0	117.0
glacierkeep_s1_B	909	91	5	0.9900990099009901	0.009900990099009901	0.0	24
glacierkeep_s2_A	74	374	19.0	0.43243243243243246	0.5675675675675675	0.0	24.0
glacierkeep_s2_B	895	105	5	0.9955307262569832	0.004469273743016759	0.0	9
glacierkeep_s3_A	100	81	8.0	0.96	0.04	0.0	24
glacierkeep_s3_B	374	626	5.0	0.8342245989304813	0.1657754010695187	0.08288770053475936	155.0
midgard_s1_A	0	164	-1	-1	-1	-1	24.0
midgard_s1_B	53	225	65	0.2830188679245283	0.7169811320754716	0.2830188679245283	153
midgard_s2_A	104	141	9.0	0.9519230769230769	0.04807692307692308	0.0	24
midgard_s2_B	81	43	143	0.012345679012345678	0.9876543209876543	0.8271604938271605	16
midgard_s3_A	444	215	290.0	0.0	1.0	0.9797297297297297	24
midgard_s3_B	189	64	15	0.48677248677248675	0.5132275132275133	0.2698412698412698	16.0
nordkap_s1_A	108	129	6.0	0.75	0.25	0.0	24
nordkap_s1_B	76	69	6.0	0.7368421052631579	0.2631578947368421	0.0	24
nordkap_s2_A	55	181	38	0.0	1.0	0.0	21
nordkap_s2_B	55	108	69	0.0	1.0	0.10909090909090909	24.0
nordkap_s3_A	859	141	4	0.9965075669383003	0.0034924330616996507	0.0	21
nordkap_s3_B	0	379	-1	-1	-1	-1	3
