tag	map	seed	seat	ours	cond	turn	arm	ourcore_dmg	ourcore_heal	ourcore_hp_calc	oppcore_dmg	oppcore_heal	oppcore_hp_calc	heal_back	heal_back_ours	opp_harv_built	opp_belt_built	opp_harv_killed	opp_belt_killed	opp_eco_killed	fwd_gun_n	fwd_gun_first	gun_n	fwd_sent_n	fwd_sent_first	fwd_laun_n	fwd_laun_first	collar_bar_n	unknown_deltas
atoll_s1_A	atoll	1	A	US	Core destroyed	289	parent	900	900	500	900	396	-4	0.44	1.0	4	14	0	1	1	0		0	1	182	3	7	27	
atoll_s1_B	atoll	1	B	US	Core destroyed	257	parent	432	432	500	504	0	-4	0.0	1.0	4	15	0	2	2	0		1	1	98	3	7	9	
atoll_s2_A	atoll	2	A	US	Core destroyed	771	parent	72	72	500	720	216	-4	0.3	1.0	6	14	0	3	3	1	769	4	6	302	12	7	54	
atoll_s2_B	atoll	2	B	OPP	Core destroyed	515	parent	4464	3964	0	468	0	32	0.0	0.888	3	13	0	2	2	0		0	1	60	3	7	8	
atoll_s3_A	atoll	3	A	OPP	Core destroyed	764	parent	900	396	-4	1764	1764	500	1.0	0.44	6	18	2	4	6	0		5	3	232	7	7	12	
atoll_s3_B	atoll	3	B	US	Core destroyed	152	parent	1080	1064	484	810	304	-6	0.3753	0.9852	3	12	0	1	1	0		0	1	62	3	7	6	
drakkarfjord_s1_A	drakkarfjord	1	A	US	Core destroyed	92	parent	0	0	500	504	0	-4	0.0		3	13	0	0	0	0		0	1	36	1	13	12	
drakkarfjord_s1_B	drakkarfjord	1	B	OPP	Core destroyed	793	parent	504	0	-4	0	0	500		0.0	8	102	0	0	0	0		0	0		5	13	8	
drakkarfjord_s2_A	drakkarfjord	2	A	US	Core destroyed	99	parent	0	0	500	504	0	-4	0.0		2	16	0	0	0	0		0	1	43	1	13	14	
drakkarfjord_s2_B	drakkarfjord	2	B	US	Core destroyed	96	parent	0	0	500	504	0	-4	0.0		3	14	0	0	0	0		0	1	40	1	13	13	
drakkarfjord_s3_A	drakkarfjord	3	A	US	Core destroyed	91	parent	0	0	500	504	0	-4	0.0		3	24	0	0	0	0		0	1	35	1	13	11	
drakkarfjord_s3_B	drakkarfjord	3	B	US	Core destroyed	98	parent	0	0	500	504	0	-4	0.0		3	19	0	0	0	0		0	1	42	1	13	12	
glacierkeep_s1_A	glacierkeep	1	A	US	Core destroyed	177	parent	0	0	500	504	0	-4	0.0		3	26	0	0	0	0		0	1	63	2	9	11	
glacierkeep_s1_B	glacierkeep	1	B	US	Core destroyed	123	parent	0	0	500	576	76	0	0.1319		3	22	0	0	0	0		0	1	59	2	9	15	
glacierkeep_s2_A	glacierkeep	2	A	US	Core destroyed	164	parent	0	0	500	504	0	-4	0.0		4	29	0	0	0	0		1	1	88	2	9	11	
glacierkeep_s2_B	glacierkeep	2	B	OPP	Core destroyed	889	parent	504	0	-4	2502	2302	300	0.9201	0.0	8	70	0	0	0	0		0	1	92	2	9	15	
glacierkeep_s3_A	glacierkeep	3	A	US	Core destroyed	153	parent	0	0	500	504	0	-4	0.0		3	32	0	1	1	0		1	1	96	2	9	10	
glacierkeep_s3_B	glacierkeep	3	B	US	Core destroyed	245	parent	0	0	500	504	0	-4	0.0		3	23	0	0	0	0		0	1	88	2	9	31	
midgard_s1_A	midgard	1	A	US	Core destroyed	140	parent	720	652	432	504	0	-4	0.0	0.9056	5	16	1	5	6	1	47	2	2	101	0		8	
midgard_s1_B	midgard	1	B	OPP	Core destroyed	378	parent	504	0	-4	0	0	500		0.0	7	20	4	6	10	3	38	5	0		0		8	
midgard_s2_A	midgard	2	A	US	Core destroyed	196	parent	198	198	500	504	0	-4	0.0	1.0	9	29	4	10	14	1	46	3	1	140	0		9	
midgard_s2_B	midgard	2	B	OPP	Titanium collected (tiebreak)	1000	parent	306	306	500	1836	1836	500	1.0	1.0	10	86	1	27	28	1	40	3	1	440	0		9	
midgard_s3_A	midgard	3	A	US	Core destroyed	103	parent	0	0	500	504	0	-4	0.0		6	29	2	3	5	2	34	2	1	47	0		9	
midgard_s3_B	midgard	3	B	US	Core destroyed	192	parent	486	476	490	504	0	-4	0.0	0.9794	7	34	2	12	14	3	40	4	1	136	0		10	
nordkap_s1_A	nordkap	1	A	US	Core destroyed	442	parent	0	0	500	3276	2776	0	0.8474		3	8	0	1	1	0		1	1	77	2	5	19	
nordkap_s1_B	nordkap	1	B	OPP	Core destroyed	326	parent	558	54	-4	108	108	500	1.0	0.0968	13	51	0	1	1	0		0	1	281	9	5	8	
