tag	map	seed	seat	ours	cond	turn	arm	ourcore_dmg	ourcore_heal	ourcore_hp_calc	oppcore_dmg	oppcore_heal	oppcore_hp_calc	heal_back	heal_back_ours	opp_harv_built	opp_belt_built	opp_harv_killed	opp_belt_killed	opp_eco_killed	fwd_gun_n	fwd_gun_first	gun_n	fwd_sent_n	fwd_sent_first	fwd_laun_n	fwd_laun_first	collar_bar_n	unknown_deltas
atoll_s1_A	atoll	1	A	US	Core destroyed	820	flagoff	396	332	436	576	68	-8	0.1181	0.8384	4	15	2	8	10	17	250	17	3	797	12	7	16	
atoll_s1_B	atoll	1	B	US	Core destroyed	765	flagoff	36	36	500	3816	3316	0	0.869	1.0	4	14	1	5	6	2	354	8	1	341	6	7	89	
atoll_s2_A	atoll	2	A	US	Core destroyed	364	flagoff	0	0	500	2592	2092	0	0.8071		4	12	0	1	1	0		1	2	79	4	7	5	
atoll_s2_B	atoll	2	B	US	Core destroyed	127	flagoff	594	500	406	504	0	-4	0.0	0.8418	3	12	0	1	1	0		0	1	66	4	7	14	
atoll_s3_A	atoll	3	A	OPP	Core destroyed	765	flagoff	1476	972	-4	0	0	500		0.6585	4	13	0	0	0	0		2	0		4	7	165	
atoll_s3_B	atoll	3	B	OPP	Core destroyed	243	flagoff	864	364	0	0	0	500		0.4213	5	18	0	1	1	0		1	0		4	7	11	
drakkarfjord_s1_A	drakkarfjord	1	A	US	Core destroyed	100	flagoff	0	0	500	504	0	-4	0.0		2	16	0	0	0	0		0	1	41	1	13	12	
drakkarfjord_s1_B	drakkarfjord	1	B	US	Core destroyed	101	flagoff	0	0	500	504	0	-4	0.0		2	9	0	0	0	0		0	1	45	1	13	18	
drakkarfjord_s2_A	drakkarfjord	2	A	US	Core destroyed	90	flagoff	0	0	500	504	0	-4	0.0		3	25	0	0	0	0		0	1	34	1	13	10	
drakkarfjord_s2_B	drakkarfjord	2	B	OPP	Core destroyed	521	flagoff	504	0	-4	2178	1820	142	0.8356	0.0	4	20	0	0	0	0		0	1	60	2	13	10	
drakkarfjord_s3_A	drakkarfjord	3	A	US	Core destroyed	99	flagoff	0	0	500	558	52	-6	0.0932		3	16	0	0	0	0		0	1	37	1	13	12	
drakkarfjord_s3_B	drakkarfjord	3	B	US	Core destroyed	100	flagoff	0	0	500	504	0	-4	0.0		2	9	0	0	0	0		0	1	44	1	13	18	
glacierkeep_s1_A	glacierkeep	1	A	US	Core destroyed	444	flagoff	0	0	500	864	356	-8	0.412		7	61	0	1	1	0		1	2	267	3	9	15	
glacierkeep_s1_B	glacierkeep	1	B	US	Harvesters (tiebreak)	1000	flagoff	0	0	500	36	0	464	0.0		6	58	0	2	2	1	812	1	1	984	3	9	71	
glacierkeep_s2_A	glacierkeep	2	A	US	Core destroyed	162	flagoff	0	0	500	504	0	-4	0.0		3	32	0	1	1	0		1	1	99	2	9	11	
glacierkeep_s2_B	glacierkeep	2	B	US	Core destroyed	143	flagoff	0	0	500	504	0	-4	0.0		4	28	0	0	0	0		1	1	84	2	9	11	
glacierkeep_s3_A	glacierkeep	3	A	US	Core destroyed	120	flagoff	0	0	500	504	0	-4	0.0		3	16	0	0	0	0		0	1	64	2	9	12	
glacierkeep_s3_B	glacierkeep	3	B	US	Titanium stored (tiebreak)	1000	flagoff	0	0	500	864	864	500	1.0		10	76	0	0	0	0		0	1	96	3	9	13	
midgard_s1_A	midgard	1	A	US	Core destroyed	217	flagoff	0	0	500	504	0	-4	0.0		9	26	3	11	14	2	42	3	1	140	0		8	
midgard_s1_B	midgard	1	B	US	Core destroyed	189	flagoff	0	0	500	504	0	-4	0.0		6	31	1	8	9	1	40	2	1	110	0		9	
midgard_s2_A	midgard	2	A	US	Core destroyed	197	flagoff	0	0	500	504	0	-4	0.0		7	35	3	7	10	1	46	2	1	116	0		8	
