tag	siege_r	idle_r	ammo_med	lt10	ge10	ge120	idle_med
atoll_s1_A	14	182	50.0	0.0	1.0	0.0	24.0
atoll_s1_B	0	376	-1	-1	-1	-1	24.0
atoll_s2_A	13	222	50	0.0	1.0	0.0	24.0
atoll_s2_B	126	359	11.0	0.48412698412698413	0.5158730158730159	0.0	24
atoll_s3_A	95	170	6	0.5052631578947369	0.49473684210526314	0.0	24.0
atoll_s3_B	0	267	-1	-1	-1	-1	24
drakkarfjord_s1_A	264	151	4.0	0.8333333333333334	0.16666666666666666	0.0	24
drakkarfjord_s1_B	908	92	4.0	0.9757709251101322	0.024229074889867842	0.0	1.0
drakkarfjord_s2_A	213	533	0	1.0	0.0	0.0	1
drakkarfjord_s2_B	0	548	-1	-1	-1	-1	3.0
drakkarfjord_s3_A	109	92	7	0.6972477064220184	0.30275229357798167	0.0	20.0
drakkarfjord_s3_B	104	207	80.0	0.0	1.0	0.28846153846153844	40
glacierkeep_s1_A	193	86	6	0.917098445595855	0.08290155440414508	0.0	20.0
glacierkeep_s1_B	935	65	1	0.9967914438502674	0.0032085561497326204	0.0	24
glacierkeep_s2_A	119	82	6	0.8571428571428571	0.14285714285714285	0.0	20.0
glacierkeep_s2_B	77	508	4	0.961038961038961	0.03896103896103896	0.0	24.0
glacierkeep_s3_A	76	104	6.5	0.7368421052631579	0.2631578947368421	0.0	22.0
glacierkeep_s3_B	55	269	160	0.0	1.0	0.9818181818181818	101
midgard_s1_A	341	216	8	0.906158357771261	0.093841642228739	0.0	33.0
midgard_s1_B	43	154	30	0.023255813953488372	0.9767441860465116	0.0	28.0
midgard_s2_A	55	312	46	0.0	1.0	0.0	24.0
midgard_s2_B	61	70	30	0.01639344262295082	0.9836065573770492	0.0	16.0
midgard_s3_A	0	273	-1	-1	-1	-1	24
midgard_s3_B	53	60	30	0.018867924528301886	0.9811320754716981	0.0	16.0
nordkap_s1_A	64	61	7.0	0.671875	0.328125	0.0	20
nordkap_s1_B	158	66	50.0	0.0	1.0	0.0	24.0
nordkap_s2_A	260	88	11.0	0.03076923076923077	0.9692307692307692	0.0	24.0
nordkap_s2_B	581	130	9	0.5559380378657487	0.4440619621342513	0.0	24.0
nordkap_s3_A	60	109	44.0	0.16666666666666666	0.8333333333333334	0.0	24
nordkap_s3_B	819	181	5	0.989010989010989	0.01098901098901099	0.0	24
