tag	map	seed	seat	ours	cond	turn	arm	ourcore_dmg	ourcore_heal	ourcore_hp_calc	oppcore_dmg	oppcore_heal	oppcore_hp_calc	heal_back	heal_back_ours	opp_harv_built	opp_belt_built	opp_harv_killed	opp_belt_killed	opp_eco_killed	fwd_gun_n	fwd_gun_first	gun_n	fwd_sent_n	fwd_sent_first	fwd_laun_n	fwd_laun_first	collar_bar_n	unknown_deltas
atoll_s1_A	atoll	1	A	US	Core destroyed	410	flagoff	468	196	228	1440	940	0	0.6528	0.4188	4	16	0	1	1	0		0	4	76	8	7	30	
atoll_s1_B	atoll	1	B	US	Core destroyed	449	flagoff	36	36	500	882	380	-2	0.4308	1.0	5	15	0	0	0	0		3	1	351	2	7	8	
atoll_s2_A	atoll	2	A	US	Core destroyed	244	flagoff	0	0	500	1620	1120	0	0.6914		4	13	0	2	2	0		0	1	64	3	7	4	
atoll_s2_B	atoll	2	B	OPP	Core destroyed	252	flagoff	504	0	-4	0	0	500		0.0	4	15	0	0	0	0		1	0		3	7	7	
atoll_s3_A	atoll	3	A	US	Core destroyed	216	flagoff	0	0	500	720	216	-4	0.3		4	15	0	3	3	0		2	1	136	2	7	6	
atoll_s3_B	atoll	3	B	US	Core destroyed	150	flagoff	846	828	482	792	284	-8	0.3586	0.9787	3	15	0	1	1	0		0	1	62	2	7	8	
drakkarfjord_s1_A	drakkarfjord	1	A	US	Core destroyed	88	flagoff	0	0	500	504	0	-4	0.0		3	25	0	0	0	0		0	1	32	1	13	10	
drakkarfjord_s1_B	drakkarfjord	1	B	US	Core destroyed	114	flagoff	0	0	500	666	160	-6	0.2402		3	15	0	0	0	0		0	1	40	1	13	12	
drakkarfjord_s2_A	drakkarfjord	2	A	US	Core destroyed	89	flagoff	0	0	500	504	0	-4	0.0		3	17	0	0	0	0		0	1	33	1	13	12	
drakkarfjord_s2_B	drakkarfjord	2	B	US	Core destroyed	98	flagoff	0	0	500	504	0	-4	0.0		3	19	0	0	0	0		0	1	42	1	13	12	
drakkarfjord_s3_A	drakkarfjord	3	A	US	Core destroyed	92	flagoff	0	0	500	504	0	-4	0.0		3	15	0	0	0	0		0	1	36	1	13	12	
drakkarfjord_s3_B	drakkarfjord	3	B	US	Core destroyed	128	flagoff	0	0	500	504	0	-4	0.0		3	17	0	0	0	0		0	1	72	1	13	13	
glacierkeep_s1_A	glacierkeep	1	A	US	Core destroyed	166	flagoff	0	0	500	504	0	-4	0.0		4	32	0	0	0	0		0	2	60	2	9	11	
glacierkeep_s1_B	glacierkeep	1	B	US	Core destroyed	278	flagoff	0	0	500	504	0	-4	0.0		3	20	0	0	0	0		0	2	80	4	9	17	
