tag	map	seed	seat	ours	turn	n_seats	rounds	sealed_r	live_r	funded_r	livefund_r	overlap_r	overlap_first	seal_only_r	shot_only_r	dmg_in	heal_in	net_in	dmg_out	heal_out	net_out	net_per_overlap	net_per_nonoverlap
atoll_s1_A	atoll	1	A	OPP	290	8	290	0	0	261	0	0	-1	0	0	0	0		0	0	0		0.0
atoll_s1_B	atoll	1	B	US	127	8	127	0	61	102	49	0	-1	0	49	0	0		504	0	504		3.9685
atoll_s2_A	atoll	2	A	US	1000	8	1000	0	0	987	0	0	-1	0	0	0	0		0	0	0		0.0
atoll_s2_B	atoll	2	B	OPP	1000	8	1000	0	0	988	0	0	-1	0	0	0	0		0	0	0		0.0
atoll_s3_A	atoll	3	A	US	216	8	216	0	80	191	80	0	-1	0	80	0	0		612	108	504		2.3333
atoll_s3_B	atoll	3	B	US	124	8	124	69	56	115	56	56	68	13	0	504	0	504	0	0	0	9.0	0.0
drakkarfjord_s1_A	drakkarfjord	1	A	US	88	8	88	57	56	73	55	55	32	2	0	486	0	486	18	0	18	8.8364	0.5455
drakkarfjord_s1_B	drakkarfjord	1	B	US	100	8	100	57	56	86	56	56	44	1	0	504	0	504	0	0	0	9.0	0.0
drakkarfjord_s2_A	drakkarfjord	2	A	US	99	8	99	53	56	85	56	43	48	10	13	378	0	378	126	0	126	8.7907	2.25
drakkarfjord_s2_B	drakkarfjord	2	B	US	121	8	121	33	80	107	80	23	41	10	57	198	0	198	414	108	306	8.6087	3.1224
drakkarfjord_s3_A	drakkarfjord	3	A	US	93	8	93	64	56	79	56	56	37	8	0	504	0	504	0	0	0	9.0	0.0
drakkarfjord_s3_B	drakkarfjord	3	B	US	101	8	101	63	56	87	56	56	45	7	0	504	0	504	0	0	0	9.0	0.0
glacierkeep_s1_A	glacierkeep	1	A	US	119	8	119	76	56	76	56	56	63	20	0	504	0	504	0	0	0	9.0	0.0
glacierkeep_s1_B	glacierkeep	1	B	OPP	1000	8	1000	89	908	77	50	3	92	86	47	18	0	18	2126	2144	-18	6.0	-0.0181
glacierkeep_s2_A	glacierkeep	2	A	US	127	8	127	82	56	111	55	55	71	27	0	486	0	486	18	0	18	8.8364	0.25
glacierkeep_s2_B	glacierkeep	2	B	US	357	8	357	297	181	79	3	0	-1	297	3	0	0		504	0	504		1.4118
glacierkeep_s3_A	glacierkeep	3	A	US	124	8	124	79	56	109	56	56	68	23	0	504	0	504	0	0	0	9.0	0.0
glacierkeep_s3_B	glacierkeep	3	B	OPP	1000	8	1000	89	188	735	3	3	96	86	0	18	0	18	678	696	-18	6.0	-0.0181
midgard_s1_A	midgard	1	A	US	422	8	422	0	373	377	340	0	-1	0	340	0	0		504	0	504		1.1943
midgard_s1_B	midgard	1	B	OPP	836	8	836	0	43	752	43	0	-1	0	43	0	0		0	0	0		0.0
midgard_s2_A	midgard	2	A	OPP	247	8	247	0	0	230	0	0	-1	0	0	0	0		0	0	0		0.0
midgard_s2_B	midgard	2	B	OPP	277	8	277	0	56	206	52	0	-1	0	52	0	0		0	0	0		0.0
midgard_s3_A	midgard	3	A	US	170	8	170	0	41	162	41	0	-1	0	41	0	0		504	0	504		2.9647
midgard_s3_B	midgard	3	B	US	198	8	198	0	56	189	56	0	-1	0	56	0	0		504	0	504		2.5455
nordkap_s1_A	nordkap	1	A	OPP	773	8	773	0	368	566	362	0	-1	0	362	0	0		212	212	0		0.0
nordkap_s1_B	nordkap	1	B	OPP	349	8	349	290	281	64	10	0	-1	290	10	0	0		432	0	432		1.2378
nordkap_s2_A	nordkap	2	A	US	197	8	197	158	105	97	17	17	92	141	0	108	0	108	396	0	396	6.3529	2.2
nordkap_s2_B	nordkap	2	B	US	220	8	220	108	211	207	207	108	112	0	99	504	0	504	0	0	0	4.6667	0.0
nordkap_s3_A	nordkap	3	A	US	329	8	329	234	278	58	18	18	51	216	0	108	0	108	672	276	396	6.0	1.2733
nordkap_s3_B	nordkap	3	B	US	1000	8	1000	60	869	970	850	16	84	44	834	126	0	126	126	252	-126	7.875	-0.128
yulerune_s1_A	yulerune	1	A	US	408	8	408	0	56	381	56	0	-1	0	56	0	0		504	0	504		1.2353
yulerune_s1_B	yulerune	1	B	US	475	8	475	0	395	420	353	0	-1	0	353	0	0		504	0	504		1.0611
