tag	siege_r	idle_r	ammo_med	lt10	ge10	ge120	idle_med
atoll_s1_A	0	549	-1	-1	-1	-1	6
atoll_s1_B	22	164	72.5	0.0	1.0	0.0	24.0
atoll_s2_A	0	502	-1	-1	-1	-1	24.0
atoll_s2_B	0	368	-1	-1	-1	-1	24.0
atoll_s3_A	55	149	41	0.0	1.0	0.0	24
atoll_s3_B	0	374	-1	-1	-1	-1	20.0
drakkarfjord_s1_A	95	116	152	0.0	1.0	0.8631578947368421	24.0
drakkarfjord_s1_B	71	65	106	0.0	1.0	0.39436619718309857	4
drakkarfjord_s2_A	0	740	-1	-1	-1	-1	24.0
drakkarfjord_s2_B	109	384	6	1.0	0.0	0.0	2.0
drakkarfjord_s3_A	742	80	3.0	0.9487870619946092	0.05121293800539083	0.0	4.0
drakkarfjord_s3_B	55	90	129	0.0	1.0	0.5636363636363636	24.0
glacierkeep_s1_A	315	415	4	0.9523809523809523	0.047619047619047616	0.0	123
glacierkeep_s1_B	935	65	6	0.9957219251336898	0.0042780748663101605	0.0	24
glacierkeep_s2_A	90	191	1.0	0.7666666666666667	0.23333333333333334	0.0	25
glacierkeep_s2_B	107	110	8	0.9813084112149533	0.018691588785046728	0.0	24.0
glacierkeep_s3_A	55	108	98	0.0	1.0	0.0	24.0
glacierkeep_s3_B	77	68	3	0.5584415584415584	0.44155844155844154	0.0	24.0
midgard_s1_A	0	266	-1	-1	-1	-1	24.0
midgard_s1_B	75	43	87	0.2	0.8	0.30666666666666664	16
midgard_s2_A	55	324	173	0.0	1.0	1.0	24.0
midgard_s2_B	81	43	143	0.012345679012345678	0.9876543209876543	0.8271604938271605	16
midgard_s3_A	51	565	160	0.0	1.0	0.8235294117647058	24
midgard_s3_B	103	61	120	0.019417475728155338	0.9805825242718447	0.5242718446601942	16
nordkap_s1_A	0	340	-1	-1	-1	-1	24.0
nordkap_s1_B	59	93	99	0.0	1.0	0.3389830508474576	24
nordkap_s2_A	55	208	26	0.0	1.0	0.0	22.0
nordkap_s2_B	71	181	268	0.0	1.0	1.0	20
nordkap_s3_A	55	101	14	0.0	1.0	0.0	24
nordkap_s3_B	72	337	8.0	0.7361111111111112	0.2638888888888889	0.0	16
